matchup,referee,time,week,away_team,home_team
Bills at Texans,Adrian Hill,8:15 p.m.,12,Bills,Texans
Steelers at Bears,John Hussey,1 p.m.,12,Steelers,Bears
Patriots at Bengals,Land Clark,1 p.m.,12,Patriots,Bengals
Giants at Lions,Craig Wrolstad,1 p.m.,12,Giants,Lions
Vikings at Packers,Carl Cheffers,1 p.m.,12,Vikings,Packers
Colts at Chiefs,Alex Moore,1 p.m.,12,Colts,Chiefs
Seahawks at Titans,Ron Torbert,1 p.m.,12,Seahawks,Titans
Jets at Ravens,Clete Blakeman,1 p.m.,12,Jets,Ravens
Jaguars at Cardinals,Scott Novak,4:05 p.m.,12,Jaguars,Cardinals
Browns at Raiders,Shawn Hochuli,4:05 p.m.,12,Browns,Raiders
Eagles at Cowboys,Bill Vinovich,4:25 p.m.,12,Eagles,Cowboys
Falcons at Saints,Brad Rogers,4:25 p.m.,12,Falcons,Saints
Buccaneers at Rams,Clay Martin,8:20 p.m.,12,Buccaneers,Rams
Panthers at 49ers,Alex Kemp,8:15 p.m.,12,Panthers,49ers
