matchup,referee,away,home,spread,favorite,game_type,query
Packers at Lions,Ron Torbert,GB,DET,-2.5,HF,DIV,'Ron Torbert' in officials and HF and DIV and REG and season>=2018
Chiefs at Cowboys,John Hussey,KC,DAL,-3.5,AF,NDIV,'John Hussey' in officials and AF and NDIV and REG and season>=2018
Bengals at Ravens,Craig Wrolstad,CIN,BAL,-7.0,HF,DIV,'Craig Wrolstad' in officials and HF and DIV and REG and season>=2018
Bears at Eagles,Carl Cheffers,CHI,PHI,-7.0,HF,C,'Carl Cheffers' in officials and HF and C and REG and season>=2018
Rams at Panthers,Scott Novak (Adrian Hill’s crew),LAR,CAR,-10.0,AF,C,'Scott Novak (Adrian Hill’s crew)' in officials and AF and C and REG and season>=2018
49ers at Browns,Brad Allen,SF,CLE,-4.5,AF,NDIV,'Brad Allen' in officials and AF and NDIV and REG and season>=2018
Texans at Colts,Clay Martin,HOU,IND,-4.5,HF,DIV,'Clay Martin' in officials and HF and DIV and REG and season>=2018
Saints at Dolphins,Alan Eck,NO,MIA,-5.5,HF,NDIV,'Alan Eck' in officials and HF and NDIV and REG and season>=2018
Falcons at Jets,Shawn Hochuli,ATL,NYJ,-2.5,AF,NDIV,'Shawn Hochuli' in officials and AF and NDIV and REG and season>=2018
Jaguars at Titans,Brad Rogers,JAX,TEN,-6.5,AF,DIV,'Brad Rogers' in officials and AF and DIV and REG and season>=2018
Cardinals at Buccaneers,Bill Vinovich,ARI,TB,-2.5,HF,C,'Bill Vinovich' in officials and HF and C and REG and season>=2018
Vikings at Seahawks,Clete Blakeman,MIN,SEA,-11.5,HF,C,'Clete Blakeman' in officials and HF and C and REG and season>=2018
Bills at Steelers,Alex Kemp,BUF,PIT,-3.5,AF,C,'Alex Kemp' in officials and AF and C and REG and season>=2018
Raiders at Chargers,Alex Moore,LV,LAC,-9.5,HF,DIV,'Alex Moore' in officials and HF and DIV and REG and season>=2018
Broncos at Commanders,Land Clark,DEN,WAS,-5.5,AF,NDIV,'Land Clark' in officials and AF and NDIV and REG and season>=2018
