matchup,referee,time,week,away_team,home_team
Packers at Lions,Ron Torbert,1 p.m.,13,Packers,Lions
Chiefs at Cowboys,John Hussey,4:30 p.m.,13,Chiefs,Cowboys
Bengals at Ravens,Craig Wrolstad,8:20 p.m.,13,Bengals,Ravens
Bears at Eagles,Carl Cheffers,3 p.m.,13,Bears,Eagles
Rams at Panthers,Scott Novak (Adrian Hill’s crew),1 p.m.,13,Rams,Panthers
49ers at Browns,Brad Allen,1 p.m.,13,49ers,Browns
Texans at Colts,Clay Martin,1 p.m.,13,Texans,Colts
Saints at Dolphins,Alan Eck,1 p.m.,13,Saints,Dolphins
Falcons at Jets,Shawn Hochuli,1 p.m.,13,Falcons,Jets
Jaguars at Titans,Brad Rogers,1 p.m.,13,Jaguars,Titans
Cardinals at Buccaneers,Bill Vinovich,1 p.m.,13,Cardinals,Buccaneers
Vikings at Seahawks,Clete Blakeman,4:05 p.m.,13,Vikings,Seahawks
Bills at Steelers,Alex Kemp,4:25 p.m.,13,Bills,Steelers
Raiders at Chargers,Alex Moore,4:25 p.m.,13,Raiders,Chargers
Broncos at Commanders,Land Clark,8:20 p.m.,13,Broncos,Commanders
