Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Bengals @ Steelers,Moneyline,"Sun 11/16, 6:00 PM",+210 | -235,16% | 84%,27% | 73%,+11%,"8,703",2025-11-13 01:57
Panthers @ Falcons,Moneyline,"Sun 11/16, 6:00 PM",+160 | -180,24% | 76%,12% | 88%,+12%,"9,935",2025-11-13 01:57
Texans @ Titans,Moneyline,"Sun 11/16, 6:00 PM",-300 | +265,93% | 7%,82% | 18%,+11%,"6,482",2025-11-13 01:57
Bears @ Vikings,Moneyline,"Sun 11/16, 6:00 PM",+143 | -165,31% | 69%,43% | 57%,+12%,"10,864",2025-11-13 01:57
Buccaneers @ Bills,Moneyline,"Sun 11/16, 6:00 PM",+225 | -250,16% | 84%,10% | 90%,+6%,"6,684",2025-11-13 01:57
Chargers @ Jaguars,Moneyline,"Sun 11/16, 6:00 PM",-150 | +132,86% | 14%,91% | 9%,+5%,"7,224",2025-11-13 01:57
Seahawks @ Rams,Moneyline,"Sun 11/16, 9:05 PM",+150 | -164,39% | 61%,66% | 34%,+27%,"8,668",2025-11-13 01:57
49ers @ Cardinals,Moneyline,"Sun 11/16, 9:05 PM",-155 | +136,89% | 11%,95% | 5%,+6%,"6,174",2025-11-13 01:57
Ravens @ Browns,Moneyline,"Sun 11/16, 9:25 PM",-390 | +335,96% | 4%,94% | 6%,+2%,"10,652",2025-11-13 01:57
Chiefs @ Broncos,Moneyline,"Sun 11/16, 9:25 PM",-200 | +180,87% | 13%,95% | 5%,+8%,"12,990",2025-11-13 01:57
Lions @ Eagles,Moneyline,"Mon 11/17, 1:20 AM",+130 | -144,31% | 69%,64% | 36%,+33%,"9,299",2025-11-13 01:57
Cowboys @ Raiders,Moneyline,"Tue 11/18, 1:15 AM",-175 | +160,91% | 9%,97% | 3%,+6%,"4,569",2025-11-13 01:57
