regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,prior_wins_mae,warps_rmse,pyth_rmse,prior_wins_rmse,n,years
0.75,0.0,5.5,2.281057057862751,2.4003287119947974,2.72972972972973,2.767845512164873,2.9640929337936237,3.4242116209757283,223,2015-2021
0.75,0.1,5.5,2.281057057862751,2.4003287119947974,2.72972972972973,2.767845512164873,2.9640929337936237,3.4242116209757283,223,2015-2021
0.75,0.15,5.5,2.281057057862751,2.4003287119947974,2.72972972972973,2.767845512164873,2.9640929337936237,3.4242116209757283,223,2015-2021
0.75,0.2,5.5,2.281057057862751,2.4003287119947974,2.72972972972973,2.767845512164873,2.9640929337936237,3.4242116209757283,223,2015-2021
0.75,0.25,5.5,2.281057057862751,2.4003287119947974,2.72972972972973,2.767845512164873,2.9640929337936237,3.4242116209757283,223,2015-2021
0.75,0.3,5.5,2.281057057862751,2.4003287119947974,2.72972972972973,2.767845512164873,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.0,5.5,2.2851232891673314,2.4003287119947974,2.72972972972973,2.764446853259542,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.1,5.5,2.2851232891673314,2.4003287119947974,2.72972972972973,2.764446853259542,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.15,5.5,2.2851232891673314,2.4003287119947974,2.72972972972973,2.764446853259542,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.2,5.5,2.2851232891673314,2.4003287119947974,2.72972972972973,2.764446853259542,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.25,5.5,2.2851232891673314,2.4003287119947974,2.72972972972973,2.764446853259542,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.3,5.5,2.2851232891673314,2.4003287119947974,2.72972972972973,2.764446853259542,2.9640929337936237,3.4242116209757283,223,2015-2021
0.75,0.0,6.0,2.2860634706841974,2.4003287119947974,2.72972972972973,2.7641034043388775,2.9640929337936237,3.4242116209757283,223,2015-2021
0.75,0.1,6.0,2.2860634706841974,2.4003287119947974,2.72972972972973,2.7641034043388775,2.9640929337936237,3.4242116209757283,223,2015-2021
0.75,0.15,6.0,2.2860634706841974,2.4003287119947974,2.72972972972973,2.7641034043388775,2.9640929337936237,3.4242116209757283,223,2015-2021
0.75,0.2,6.0,2.2860634706841974,2.4003287119947974,2.72972972972973,2.7641034043388775,2.9640929337936237,3.4242116209757283,223,2015-2021
0.75,0.25,6.0,2.2860634706841974,2.4003287119947974,2.72972972972973,2.7641034043388775,2.9640929337936237,3.4242116209757283,223,2015-2021
0.75,0.3,6.0,2.2860634706841974,2.4003287119947974,2.72972972972973,2.7641034043388775,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.0,5.5,2.291689653038831,2.4003287119947974,2.72972972972973,2.764007694871372,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.1,5.5,2.291689653038831,2.4003287119947974,2.72972972972973,2.764007694871372,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.15,5.5,2.291689653038831,2.4003287119947974,2.72972972972973,2.764007694871372,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.2,5.5,2.291689653038831,2.4003287119947974,2.72972972972973,2.764007694871372,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.25,5.5,2.291689653038831,2.4003287119947974,2.72972972972973,2.764007694871372,2.9640929337936237,3.4242116209757283,223,2015-2021
0.65,0.3,5.5,2.291689653038831,2.4003287119947974,2.72972972972973,2.764007694871372,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.0,6.0,2.2925973259574235,2.4003287119947974,2.72972972972973,2.7641819370820078,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.1,6.0,2.2925973259574235,2.4003287119947974,2.72972972972973,2.7641819370820078,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.15,6.0,2.2925973259574235,2.4003287119947974,2.72972972972973,2.7641819370820078,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.2,6.0,2.2925973259574235,2.4003287119947974,2.72972972972973,2.7641819370820078,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.25,6.0,2.2925973259574235,2.4003287119947974,2.72972972972973,2.7641819370820078,2.9640929337936237,3.4242116209757283,223,2015-2021
0.7,0.3,6.0,2.2925973259574235,2.4003287119947974,2.72972972972973,2.7641819370820078,2.9640929337936237,3.4242116209757283,223,2015-2021
0.75,0.0,6.5,2.293453894750793,2.4003287119947974,2.72972972972973,2.7643789351752726,2.9640929337936237,3.4242116209757283,223,2015-2021
