w_pass_epa,w_rush_epa,w_success,w_explosive,w_point_diff,w_pyth_edge,w_turnover,config_name,regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,pw_mae,warps_rmse,n,years
0.23316008469808921,0.10624728605890774,0.3119566231526361,0.01641067813796922,0.060971014901638164,0.25415592797529474,0.017098385075464677,dirichlet_0143,0.75,0.0,5.5,2.3342841347364836,2.5877737034133133,2.8815977175463625,2.837865653189332,702,2000-2021
0.040743909690774606,0.12319480734813587,0.25095433363618846,0.00024165150758998866,0.12246286909605482,0.4400311517512996,0.022371276969956822,dirichlet_0067,0.75,0.0,5.5,2.334951912400816,2.5877737034133133,2.8815977175463625,2.8403302642589767,702,2000-2021
0.16110960930414744,0.0006297085168622959,0.34947941009648537,0.00036134947074741627,0.017228966816420353,0.46981430186791373,0.0013766539274233838,dirichlet_0000,0.75,0.0,5.5,2.3361360276839345,2.5877737034133133,2.8815977175463625,2.8438490378846604,702,2000-2021
0.17381194626673407,0.0031246370511446597,0.3954729155533596,0.03234019628163022,0.016983364824961718,0.3700536400465484,0.008213299975621315,dirichlet_0146,0.75,0.0,5.5,2.3367760790626835,2.5877737034133133,2.8815977175463625,2.840912487908731,702,2000-2021
0.20997915725711744,0.17689150246961058,0.19484337896509235,0.05227644722652414,0.05581849709331379,0.309842295150235,0.00034872183810667556,dirichlet_0176,0.75,0.0,5.5,2.338842318049807,2.5877737034133133,2.8815977175463625,2.8409422275490206,702,2000-2021
0.17512365225812082,0.035940961609207636,0.21661279783956283,0.012610588656418412,0.07708678814548169,0.477785352794288,0.00483985869692063,dirichlet_0024,0.75,0.0,5.5,2.3398061986691445,2.5877737034133133,2.8815977175463625,2.8457468381811974,702,2000-2021
0.2206543653722992,0.049741240078238665,0.21868549247389008,0.01908468594879389,0.06671980568359384,0.42066504195058474,0.0044493684925995805,dirichlet_0222,0.75,0.0,5.5,2.339981141386588,2.5877737034133133,2.8815977175463625,2.844933515611614,702,2000-2021
0.22522818726221447,0.054731076681274915,0.20831907342784559,0.0005263740786890369,0.0829909693889003,0.42365369841981254,0.004550620741263032,dirichlet_0070,0.75,0.0,5.5,2.340046101744793,2.5877737034133133,2.8815977175463625,2.846360511999494,702,2000-2021
0.3502070940928421,0.05605742196836889,0.2534179730335151,7.038158000747849e-05,0.03004474365102022,0.3081990085446367,0.0020033771296094865,dirichlet_0207,0.75,0.0,5.5,2.3411405224193893,2.5877737034133133,2.8815977175463625,2.8476851321075496,702,2000-2021
0.16864134265809977,0.010638010921288328,0.23649618132562045,0.06076567618298472,0.12614476898337482,0.39731200578459525,2.0141440367897184e-06,dirichlet_0102,0.75,0.0,5.5,2.341207472223168,2.5877737034133133,2.8815977175463625,2.844561785328821,702,2000-2021
0.10926929846143184,0.14951012057586052,0.14669573176708478,0.0008471500927227772,0.041251080479273346,0.5302481929888981,0.022178425634728664,dirichlet_0091,0.75,0.0,5.5,2.3413399999880773,2.5877737034133133,2.8815977175463625,2.846057724260137,702,2000-2021
0.04047394467247805,0.03445584346512025,0.17306001000183793,0.00038910280320158993,0.3316095906446024,0.408590866347095,0.011420642065664857,dirichlet_0210,0.75,0.0,5.5,2.3417847605126925,2.5877737034133133,2.8815977175463625,2.848657524437487,702,2000-2021
0.15481676924206728,0.0013437156448928532,0.21904746966956773,0.0036798556654575147,0.09618779016922979,0.5128290897961388,0.01209530981264608,dirichlet_0112,0.75,0.0,5.5,2.341923928014239,2.5877737034133133,2.8815977175463625,2.849199736859055,702,2000-2021
0.06780609279463529,0.19096979343464693,0.15550154613559752,0.0944008204578119,0.10848226952302256,0.3828324255306971,7.052123588699975e-06,dirichlet_0033,0.75,0.0,5.5,2.3428199429233394,2.5877737034133133,2.8815977175463625,2.8446359303033124,702,2000-2021
0.11510358164573996,0.0013905645291013092,0.19570373192378365,0.00014903339695405385,0.13206611570565596,0.5412267666408215,0.014360206157943785,dirichlet_0148,0.75,0.0,5.5,2.3429121391564833,2.5877737034133133,2.8815977175463625,2.8505185093781864,702,2000-2021
0.1313323219029397,0.03364641335815497,0.18271226811268473,0.07783066763889306,0.03464443835935454,0.5398193303475084,1.4560280464578739e-05,dirichlet_0162,0.75,0.0,5.5,2.3432245398812452,2.5877737034133133,2.8815977175463625,2.8453232187793613,702,2000-2021
0.027611798652234575,0.058161978757621705,0.127473899968008,0.00907392911392069,0.2905338590644338,0.48714073495330756,3.799490473699087e-06,dirichlet_0279,0.75,0.0,5.5,2.3434523082489664,2.5877737034133133,2.8815977175463625,2.8505739404843764,702,2000-2021
0.19120104813845182,0.16945456717846927,0.10604283685554637,2.8945776381208964e-06,0.10530788770159992,0.41367776489575464,0.014313000652539648,dirichlet_0039,0.75,0.0,5.5,2.3440065588542325,2.5877737034133133,2.8815977175463625,2.8487783374340583,702,2000-2021
0.13946095866463706,0.006601009687558289,0.4377697769785464,0.0005358352487495799,0.024282401573642663,0.24469184082456677,0.14665817702229927,dirichlet_0083,0.75,0.0,5.5,2.3440506828239505,2.5877737034133133,2.8815977175463625,2.844076903267148,702,2000-2021
0.16790473362367692,0.0018856704590946589,0.29153600230771637,0.1269249084899539,0.0857233502457021,0.32408135092366697,0.0019439839501888604,dirichlet_0133,0.75,0.0,5.5,2.3441280263287254,2.5877737034133133,2.8815977175463625,2.842518439111554,702,2000-2021
0.12117500122276106,0.03905309496881181,0.1659081010791812,0.08411088641112642,0.017972673434707733,0.5696678086951088,0.002112434188302978,dirichlet_0282,0.75,0.0,5.5,2.3442598982548026,2.5877737034133133,2.8815977175463625,2.8460315101035114,702,2000-2021
0.16046256245774915,0.024494401403322423,0.1651328812483999,0.0422061656631434,0.27506852659906594,0.3325740243538978,6.143827442126642e-05,dirichlet_0156,0.75,0.0,5.5,2.3443998564241006,2.5877737034133133,2.8815977175463625,2.848490713516162,702,2000-2021
0.11974172136725986,0.024356367852447144,0.23671956406614666,0.10824145196731831,0.14350678947809942,0.3201949072263962,0.047239198042332196,dirichlet_0100,0.75,0.0,5.5,2.3447097574854374,2.5877737034133133,2.8815977175463625,2.8413342289401586,702,2000-2021
0.1096386571239301,0.010711296320703197,0.15175934996423215,0.0022215148207516463,0.009473955133174153,0.7095815664223144,0.006613660214894339,dirichlet_0250,0.75,0.0,5.5,2.3447456367174433,2.5877737034133133,2.8815977175463625,2.8534931596982904,702,2000-2021
0.30362795453143754,0.018120093803618894,0.22929203030753673,0.04399894763553029,0.09041242936140548,0.3103643810500868,0.004184163310384156,dirichlet_0256,0.75,0.0,5.5,2.344833631898212,2.5877737034133133,2.8815977175463625,2.8489584918012527,702,2000-2021
0.154477677586728,0.12717512396904285,0.08861617445401293,0.0006511723616219697,0.05665752541298031,0.5706618743765529,0.0017604518390612253,dirichlet_0201,0.75,0.0,5.5,2.344934290186859,2.5877737034133133,2.8815977175463625,2.8513535544095796,702,2000-2021
0.21387886526689695,0.07484029547392676,0.16616360041354522,0.0004367669248189066,0.006405079396944805,0.46937598658919194,0.0688994059346756,dirichlet_0043,0.75,0.0,5.5,2.345082802745993,2.5877737034133133,2.8815977175463625,2.8484051377908077,702,2000-2021
0.08588323082203587,0.017775102355349653,0.14901207816406795,0.060910544905122994,0.033205812209673176,0.6449681799560516,0.008245051587698716,dirichlet_0080,0.75,0.0,5.5,2.345339093453738,2.5877737034133133,2.8815977175463625,2.8493492644704497,702,2000-2021
0.22711882565010671,0.07358366404449393,0.1142241186712008,0.0030171928577838367,0.05195084891863618,0.5300727522569011,3.2597600877280156e-05,dirichlet_0267,0.75,0.0,5.5,2.345603274961368,2.5877737034133133,2.8815977175463625,2.8522673938204433,702,2000-2021
0.06224844333801986,0.13917777597999442,0.17293289035689133,5.921796885705553e-05,0.06636526769860725,0.448399596771468,0.11081680788616208,dirichlet_0099,0.75,0.0,5.5,2.3456506632933976,2.5877737034133133,2.8815977175463625,2.8466401974972952,702,2000-2021
0.10130774626830573,0.01732458240552841,0.12673427683961813,0.00010410554383182345,0.029272959087814243,0.7245145031338555,0.0007418267210462421,dirichlet_0174,0.75,0.0,5.5,2.3459580324325353,2.5877737034133133,2.8815977175463625,2.8553077320638454,702,2000-2021
0.1922911987366286,0.0238335215067828,0.14121892874251085,0.014610021397215678,0.14837329677528308,0.47336314102538773,0.006309891816191221,dirichlet_0047,0.75,0.0,5.5,2.3462142543275974,2.5877737034133133,2.8815977175463625,2.8527202524023156,702,2000-2021
0.0814132014143633,0.043641177269413384,0.23918604866334262,0.02924153692505326,0.007526511622272935,0.4589717100107385,0.140019814094816,dirichlet_0050,0.75,0.0,5.5,2.3463243938362246,2.5877737034133133,2.8815977175463625,2.8446087454643645,702,2000-2021
0.23238198781849753,0.038220167265595524,0.14344361486323207,0.014295796627642906,0.10369403603288246,0.44975255206974296,0.018211845322406647,dirichlet_0266,0.75,0.0,5.5,2.346361037202269,2.5877737034133133,2.8815977175463625,2.8519727410361946,702,2000-2021
0.2979543056364614,0.06575606025514745,0.1304361330286385,0.026698176694891558,0.042857812718070744,0.4361859135536076,0.00011159811318285127,dirichlet_0299,0.75,0.0,5.5,2.3464760839902064,2.5877737034133133,2.8815977175463625,2.8519229656976584,702,2000-2021
0.1840960772963052,0.13152761512806613,0.07252269167100545,0.00042164255589457317,0.026580527169715738,0.5781928733172038,0.006658572861809204,dirichlet_0026,0.75,0.0,5.5,2.346535872970104,2.5877737034133133,2.8815977175463625,2.852902697509589,702,2000-2021
0.09521847380787304,0.16702618827131438,0.08146304066256789,0.0034347457496759644,0.15240234958444523,0.4725565209365456,0.027898680987577792,dirichlet_0221,0.75,0.0,5.5,2.3467202060206884,2.5877737034133133,2.8815977175463625,2.8514831098611495,702,2000-2021
0.2792605943541047,0.03686492761537783,0.14810412182774266,0.008514696587137292,0.09047276843383423,0.4285641650955566,0.008218726086246606,dirichlet_0025,0.75,0.0,5.5,2.3467272654599394,2.5877737034133133,2.8815977175463625,2.853422004402274,702,2000-2021
0.06365106717585543,0.12357361899823224,0.06411723457466038,0.0018605582897728956,0.07914916076969705,0.662869662256579,0.004778697935203012,dirichlet_0071,0.75,0.0,5.5,2.3467898526947986,2.5877737034133133,2.8815977175463625,2.8546613059378525,702,2000-2021
0.17379829865643198,0.12219730429775409,0.06595303066752162,0.001364187884461556,0.04242815235361751,0.5929929991398253,0.001266027000387957,dirichlet_0270,0.75,0.0,5.5,2.3468713159133605,2.5877737034133133,2.8815977175463625,2.853834906800472,702,2000-2021
0.19418930069766896,0.0003136129817666393,0.15371421196227186,0.00010854221146726746,0.12748537106728963,0.5241133321136308,7.562896590470546e-05,dirichlet_0254,0.75,0.0,5.5,2.346877538355944,2.5877737034133133,2.8815977175463625,2.855504049195486,702,2000-2021
0.05252423681503863,0.021222933578929386,0.10954211333510415,0.0016612857740793442,0.23731707219830767,0.5623367162945345,0.015395642004006397,dirichlet_0119,0.75,0.0,5.5,2.3472754161005898,2.5877737034133133,2.8815977175463625,2.8554918334205808,702,2000-2021
0.16248186147217186,0.13220944161102624,0.06006473973317185,0.045097454543053354,0.10764087080047482,0.4925056318397265,3.752681881448433e-13,dirichlet_0142,0.75,0.0,5.5,2.3473053134278086,2.5877737034133133,2.8815977175463625,2.851852733905906,702,2000-2021
0.07128849829285708,0.0642185220429441,0.16930176353533455,0.0023500209074498245,0.019975576604228905,0.5582108415870919,0.11465477703009355,dirichlet_0131,0.75,0.0,5.5,2.3473873427362903,2.5877737034133133,2.8815977175463625,2.849086115671473,702,2000-2021
0.12289670060406425,0.05549952494763818,0.08636053311918958,1.3293784388829654e-05,0.08437013433321841,0.6430720373177483,0.00778777589375264,dirichlet_0008,0.75,0.0,5.5,2.3474304523766363,2.5877737034133133,2.8815977175463625,2.8555788035126985,702,2000-2021
0.14164310583404988,0.05511826570359471,0.10133821197778564,2.133598013824574e-05,0.14768436095973447,0.5273860636379805,0.02680865590671659,dirichlet_0284,0.75,0.0,5.5,2.347518976077058,2.5877737034133133,2.8815977175463625,2.853830668542897,702,2000-2021
0.15495319284994907,0.004254854587254483,0.13020127512144244,0.002448541638965215,0.03805345209815107,0.6597604531262362,0.010328230578001394,dirichlet_0255,0.75,0.0,5.5,2.347597092518634,2.5877737034133133,2.8815977175463625,2.856479252364829,702,2000-2021
0.05578783855702499,0.007761377706580815,0.10998527050090363,0.001899109419801197,0.005946403480923726,0.8182621954039581,0.00035780493080753167,dirichlet_0185,0.75,0.0,5.5,2.3478024017395773,2.5877737034133133,2.8815977175463625,2.858015042458637,702,2000-2021
0.27200970458263,0.00025329046513162585,0.1632495676781224,0.027039585381133702,0.026771319298352247,0.5093805268011151,0.0012960057935150178,dirichlet_0240,0.75,0.0,5.5,2.3480828232640456,2.5877737034133133,2.8815977175463625,2.8554080669856585,702,2000-2021
0.2768133590967754,0.03538520165630949,0.12395102520022924,0.0017964123229587032,0.03596438152065404,0.5250140571550049,0.0010755630480682582,dirichlet_0261,0.75,0.0,5.5,2.3480915103396627,2.5877737034133133,2.8815977175463625,2.856247445935569,702,2000-2021
0.08575373571348248,0.008382084149811024,0.14891986627311912,0.0003027463886238708,0.062433190293850666,0.6288088940193379,0.06539948316177481,dirichlet_0046,0.75,0.0,5.5,2.3481102311062836,2.5877737034133133,2.8815977175463625,2.8538251530168277,702,2000-2021
0.14645204712109505,0.00404576101396422,0.11637036651033301,0.010192541326658448,0.007825681870433806,0.7138522409937614,0.0012613611637538446,dirichlet_0183,0.75,0.0,5.5,2.3481611846143684,2.5877737034133133,2.8815977175463625,2.8574333446759286,702,2000-2021
0.24416369963825202,0.08432043047808563,0.07854536373505393,0.003004764430124565,0.09770121581368191,0.49200491480766595,0.00025961109713604403,dirichlet_0116,0.75,0.0,5.5,2.3481980565486076,2.5877737034133133,2.8815977175463625,2.8550909722334996,702,2000-2021
0.1706739768240155,0.16829942979186563,0.04464130571150135,0.011772478620498426,0.12140896459324951,0.47889374054103373,0.0043101039178359115,dirichlet_0268,0.75,0.0,5.5,2.3482126012653315,2.5877737034133133,2.8815977175463625,2.8541192944697893,702,2000-2021
0.08516564581528199,0.01930283022970867,0.1572483342950245,0.012765849451086723,0.015777750897909382,0.6213054437010143,0.08843414560997442,dirichlet_0136,0.75,0.0,5.5,2.3482201978721853,2.5877737034133133,2.8815977175463625,2.8516945888992997,702,2000-2021
0.13164135618210218,0.002569354935017911,0.12867236012018698,0.017380528165230263,0.05276369332203307,0.6380312876746194,0.0289414196008102,dirichlet_0010,0.75,0.0,5.5,2.348329841809783,2.5877737034133133,2.8815977175463625,2.8552365604143684,702,2000-2021
0.3278623643855942,0.006196077858881789,0.1878335337599882,0.0050478668842774774,0.0728469082093181,0.3881073634182739,0.012105885483666656,dirichlet_0252,0.75,0.0,5.5,2.3485234696037276,2.5877737034133133,2.8815977175463625,2.855978003776284,702,2000-2021
0.08383124891077098,0.006092132636554689,0.1667982705801644,0.13045668156237758,0.09397689014850456,0.5184367349090666,0.000408041252561106,dirichlet_0028,0.75,0.0,5.5,2.348528388625752,2.5877737034133133,2.8815977175463625,2.848224908178681,702,2000-2021
0.18280158885633244,0.021627890800523034,0.10241564524647137,6.419880611927977e-06,0.017348751025110645,0.6748190033256479,0.00098070086530286,dirichlet_0117,0.75,0.0,5.5,2.348668495713242,2.5877737034133133,2.8815977175463625,2.858038117655438,702,2000-2021
0.09670250266020185,0.002565690704411953,0.17214859834290655,0.13200826922391462,0.09383576798871339,0.4996856691396111,0.0030535019402406515,dirichlet_0181,0.75,0.0,5.5,2.348764189210312,2.5877737034133133,2.8815977175463625,2.8482392774126586,702,2000-2021
0.08320810386700546,1.3750440846442702e-05,0.10457766206711493,4.5254372964703647e-08,0.01232156406228979,0.7945085409799707,0.00537033332839969,dirichlet_0145,0.75,0.0,5.5,2.3490590664043958,2.5877737034133133,2.8815977175463625,2.859433788085341,702,2000-2021
0.19438873351184902,0.04399052416930994,0.08389236506470055,0.0009196748159270398,0.2344487609616366,0.4419414615074729,0.0004184799691039685,dirichlet_0238,0.75,0.0,5.5,2.3491830816950565,2.5877737034133133,2.8815977175463625,2.8570206614968376,702,2000-2021
0.2528257494210391,0.0008452179949253269,0.1500393317414563,0.05944303496974249,0.06406916590337727,0.4725010558419461,0.00027644412751343296,dirichlet_0065,0.75,0.0,5.5,2.3494121417873677,2.5877737034133133,2.8815977175463625,2.8544799083776766,702,2000-2021
0.24783905662220967,1.9293311835364076e-05,0.14240653872990255,2.3725847054481845e-05,0.19596780033887767,0.41106239341124895,0.002681191738871383,dirichlet_0114,0.75,0.0,5.5,2.349437567006821,2.5877737034133133,2.8815977175463625,2.857763126431236,702,2000-2021
0.08025893671958251,0.06359669161673409,0.050040220809220486,0.006853933751717228,0.03219773848255805,0.7669866811190991,6.57975010885787e-05,dirichlet_0101,0.75,0.0,5.5,2.349507100694415,2.5877737034133133,2.8815977175463625,2.8589774629563682,702,2000-2021
0.2519162862296706,0.0021515310151648498,0.140802945065685,0.041048188652678515,0.04063994811036611,0.5160762911792546,0.007364809747180356,dirichlet_0014,0.75,0.0,5.5,2.349513005075812,2.5877737034133133,2.8815977175463625,2.855704942450259,702,2000-2021
0.1423936272153002,0.050101273862210464,0.06339904870440852,0.001240320858356724,0.01017240590151968,0.7326791287933668,1.4194664837638325e-05,dirichlet_0069,0.75,0.0,5.5,2.349517260598671,2.5877737034133133,2.8815977175463625,2.858964701219602,702,2000-2021
0.193763880966705,0.0004372104236956935,0.1663437884541105,0.00914467507480226,0.03376606154525803,0.5177970054322992,0.0787473781031292,dirichlet_0006,0.75,0.0,5.5,2.349832627182273,2.5877737034133133,2.8815977175463625,2.854553222733122,702,2000-2021
0.15117284904524056,0.004020909961513066,0.0970367991989385,0.001063627435263548,0.06460180154803435,0.6792025475648209,0.002901465246189244,dirichlet_0135,0.75,0.0,5.5,2.349943047540384,2.5877737034133133,2.8815977175463625,2.859924416805275,702,2000-2021
0.1666939376143444,0.001884153994680441,0.10478945029189157,0.005138428462823813,0.05991040106759701,0.6532600413530641,0.00832358721559852,dirichlet_0149,0.75,0.0,5.5,2.349972150389639,2.5877737034133133,2.8815977175463625,2.8592202534608298,702,2000-2021
0.301334113487114,0.002918733131847386,0.14750630197844183,0.009857671713246533,0.058597700709269764,0.4765145086970935,0.0032709702829869327,dirichlet_0246,0.75,0.0,5.5,2.3500107685683282,2.5877737034133133,2.8815977175463625,2.858350699732771,702,2000-2021
0.21599755950315133,0.017611043085370082,0.16323494716669193,0.0022010907925195155,0.06640547609519347,0.4472017325900314,0.08734815076704225,dirichlet_0160,0.75,0.0,5.5,2.3500266579346407,2.5877737034133133,2.8815977175463625,2.8542004248270185,702,2000-2021
0.22173209739451097,0.02122909040308356,0.09658544443522828,0.0032131099172807106,0.07476014079879517,0.5823187660775772,0.00016135097352417506,dirichlet_0094,0.75,0.0,5.5,2.350042894575727,2.5877737034133133,2.8815977175463625,2.858948545733496,702,2000-2021
