w_pyth_edge,w_pass_epa,w_point_diff,regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,pw_mae,warps_rmse,n,years
0.8,0.0,0.2,0.75,0.0,5.5,2.280993478278483,2.4003287119947974,2.72972972972973,2.7675800316382175,223,2015-2021
0.85,0.0,0.15,0.75,0.0,5.5,2.281005304518082,2.4003287119947974,2.72972972972973,2.767620224494949,223,2015-2021
0.9,0.0,0.1,0.75,0.0,5.5,2.2810227649632338,2.4003287119947974,2.72972972972973,2.767677863373154,223,2015-2021
0.95,0.0,0.05,0.75,0.0,5.5,2.2810400158622133,2.4003287119947974,2.72972972972973,2.767752956751073,223,2015-2021
0.75,0.0,0.25,0.75,0.0,5.5,2.281047679080717,2.4003287119947974,2.72972972972973,2.7675572753851156,223,2015-2021
1.0,0.0,0.0,0.75,0.0,5.5,2.281057057862751,2.4003287119947974,2.72972972972973,2.767845512164873,223,2015-2021
0.7,0.0,0.3,0.75,0.0,5.5,2.281101681680634,2.4003287119947974,2.72972972972973,2.767551945380813,223,2015-2021
0.65,0.0,0.35,0.75,0.0,5.5,2.2811554849157303,2.4003287119947974,2.72972972972973,2.7675640303362767,223,2015-2021
0.6,0.0,0.4,0.75,0.0,5.5,2.2813862259604867,2.4003287119947974,2.72972972972973,2.7675935180312043,223,2015-2021
0.55,0.0,0.45,0.75,0.0,5.5,2.281660841861473,2.4003287119947974,2.72972972972973,2.767640395317112,223,2015-2021
0.5,0.0,0.5,0.75,0.0,5.5,2.282017827517619,2.4003287119947974,2.72972972972973,2.7677046481205765,223,2015-2021
0.45,0.0,0.55,0.75,0.0,5.5,2.28240805461215,2.4003287119947974,2.72972972972973,2.7677862614466266,223,2015-2021
0.4,0.0,0.6,0.75,0.0,5.5,2.282797595181657,2.4003287119947974,2.72972972972973,2.7678852193822925,223,2015-2021
0.8,0.05,0.15,0.75,0.0,5.5,2.2830106796258813,2.4003287119947974,2.72972972972973,2.769058511238067,223,2015-2021
0.85,0.05,0.1,0.75,0.0,5.5,2.283028017002051,2.4003287119947974,2.72972972972973,2.769101881388014,223,2015-2021
0.9,0.05,0.05,0.75,0.0,5.5,2.2830451494741473,2.4003287119947974,2.72972972972973,2.76916270501506,223,2015-2021
0.95,0.05,0.0,0.75,0.0,5.5,2.283062077678202,2.4003287119947974,2.72972972972973,2.7692409906070683,223,2015-2021
0.75,0.05,0.2,0.75,0.0,5.5,2.2830649441123465,2.4003287119947974,2.72972972972973,2.769032585137892,223,2015-2021
0.7,0.05,0.25,0.75,0.0,5.5,2.2831193556626284,2.4003287119947974,2.72972972972973,2.769024092723348,223,2015-2021
0.65,0.05,0.3,0.75,0.0,5.5,2.283173573539636,2.4003287119947974,2.72972972972973,2.7690330226962874,223,2015-2021
0.35,0.0,0.65,0.75,0.0,5.5,2.2832017727752136,2.4003287119947974,2.72972972972973,2.768001505100292,223,2015-2021
0.6,0.05,0.35,0.75,0.0,5.5,2.2834428754482516,2.4003287119947974,2.72972972972973,2.7690593628275133,223,2015-2021
0.3,0.0,0.7,0.75,0.0,5.5,2.2836176119588445,2.4003287119947974,2.72972972972973,2.76813510086288,223,2015-2021
0.55,0.05,0.4,0.75,0.0,5.5,2.2838627451116773,2.4003287119947974,2.72972972972973,2.769103099959896,223,2015-2021
