season,home_team,away_team,home_expected_spread,home_win_prob,home_pure_quality_pts,away_pure_quality_pts,home_projection_quality_pts,away_projection_quality_pts,home_schedule_context_pts,away_schedule_context_pts
2026,SEA,NE,0.012121105501655016,0.5005509591179882,4.018221964084291,3.506100858582636,3.518221964084291,5.006100858582636,-0.0,-0.0
2026,LAR,SF,3.893058907046572,0.6699212469886497,3.347756278054812,1.4546973710082398,3.847756278054812,1.4546973710082398,-0.0,-0.0
2026,CAR,CHI,-0.28037012361302915,0.4872586624807279,-1.7210096412756808,0.5593604823373483,-1.7210096412756808,0.05936048233734825,0.0,-0.0
2026,CIN,TB,1.6843874480771501,0.5759702185177545,-1.4866394825092182,-0.6710269305863683,-0.4866394825092182,-0.6710269305863683,0.0,0.0
2026,DET,NO,4.779234254190463,0.704527518139086,1.3579071478459892,-1.9213271063444743,1.8579071478459892,-1.4213271063444743,0.0,0.0
2026,HOU,BUF,1.3023023436776597,0.5589205322506935,2.6858549921821586,2.383552648504499,2.6858549921821586,2.883552648504499,0.0,-0.0
2026,IND,BAL,1.0239532870578625,0.5464093609374262,1.1054793640259648,0.5815260769681024,1.1054793640259648,1.5815260769681023,0.0,0.0
2026,JAX,CLE,8.991502687410442,0.8368286794654201,2.9123505157284617,-2.579152171681979,3.4123505157284617,-4.079152171681979,0.0,0.0
2026,PIT,ATL,3.347148889689359,0.6476151071002794,0.24783750559591025,-1.0993113840934485,0.24783750559591025,-1.5993113840934485,0.0,0.0
2026,TEN,NYJ,3.4762404972740466,0.6529527264984494,-4.083269386189092,-4.0595098834631385,-3.583269386189092,-5.5595098834631385,-0.0,-0.0
2026,LAC,ARI,5.892192081484948,0.7448455153742164,0.7210209221093362,-2.6711711593756116,0.7210209221093362,-3.6711711593756116,-0.0,-0.0
2026,LV,MIA,0.7640866225276564,0.5346754580295097,-4.457177201705938,-1.7212638242335943,-4.457177201705938,-3.7212638242335943,-0.0,-0.0
2026,MIN,GB,1.058225436097723,0.5479533132484523,0.3096790945678526,0.7514536584701295,0.3096790945678526,0.7514536584701295,-0.0,-0.0
2026,PHI,WAS,3.389795450234921,0.6493825955860688,1.3689810651120342,-2.0208143851228866,1.3689810651120342,-0.5208143851228866,0.0,-0.0
