regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,pw_mae,warps_rmse,n,years
0.75,0.0,5.5,2.2810227649632338,2.4003287119947974,2.72972972972973,2.767677863373154,223,2015-2021
0.75,0.1,5.5,2.2810227649632338,2.4003287119947974,2.72972972972973,2.767677863373154,223,2015-2021
0.75,0.15,5.5,2.2810227649632338,2.4003287119947974,2.72972972972973,2.767677863373154,223,2015-2021
0.75,0.2,5.5,2.2810227649632338,2.4003287119947974,2.72972972972973,2.767677863373154,223,2015-2021
0.75,0.25,5.5,2.2810227649632338,2.4003287119947974,2.72972972972973,2.767677863373154,223,2015-2021
0.75,0.3,5.5,2.2810227649632338,2.4003287119947974,2.72972972972973,2.767677863373154,223,2015-2021
0.7,0.0,5.5,2.285229828257557,2.4003287119947974,2.72972972972973,2.76431151303303,223,2015-2021
0.7,0.1,5.5,2.285229828257557,2.4003287119947974,2.72972972972973,2.76431151303303,223,2015-2021
0.7,0.15,5.5,2.285229828257557,2.4003287119947974,2.72972972972973,2.76431151303303,223,2015-2021
0.7,0.2,5.5,2.285229828257557,2.4003287119947974,2.72972972972973,2.76431151303303,223,2015-2021
0.7,0.25,5.5,2.285229828257557,2.4003287119947974,2.72972972972973,2.76431151303303,223,2015-2021
0.7,0.3,5.5,2.285229828257557,2.4003287119947974,2.72972972972973,2.76431151303303,223,2015-2021
0.75,0.0,6.0,2.286183477305369,2.4003287119947974,2.72972972972973,2.763975798621084,223,2015-2021
0.75,0.1,6.0,2.286183477305369,2.4003287119947974,2.72972972972973,2.763975798621084,223,2015-2021
0.75,0.15,6.0,2.286183477305369,2.4003287119947974,2.72972972972973,2.763975798621084,223,2015-2021
0.75,0.2,6.0,2.286183477305369,2.4003287119947974,2.72972972972973,2.763975798621084,223,2015-2021
0.75,0.25,6.0,2.286183477305369,2.4003287119947974,2.72972972972973,2.763975798621084,223,2015-2021
0.75,0.3,6.0,2.286183477305369,2.4003287119947974,2.72972972972973,2.763975798621084,223,2015-2021
0.65,0.0,5.5,2.291646959750862,2.4003287119947974,2.72972972972973,2.7639024656824023,223,2015-2021
0.65,0.1,5.5,2.291646959750862,2.4003287119947974,2.72972972972973,2.7639024656824023,223,2015-2021
0.65,0.15,5.5,2.291646959750862,2.4003287119947974,2.72972972972973,2.7639024656824023,223,2015-2021
0.65,0.2,5.5,2.291646959750862,2.4003287119947974,2.72972972972973,2.7639024656824023,223,2015-2021
0.65,0.25,5.5,2.291646959750862,2.4003287119947974,2.72972972972973,2.7639024656824023,223,2015-2021
0.65,0.3,5.5,2.291646959750862,2.4003287119947974,2.72972972972973,2.7639024656824023,223,2015-2021
0.7,0.0,6.0,2.2925561383304376,2.4003287119947974,2.72972972972973,2.764081568707627,223,2015-2021
