Matchup,Market,Game Time,Line,Bets %,Money %,Diff,Num Bets,Fetched
Packers @ Giants,Spread,"Sun 11/16, 6:00 PM",-7 (-110) | +7 (-104),61% | 39%,62% | 38%,+1%,"12,843",2025-11-14 03:14
Commanders @ Dolphins,Spread,"Sun 11/16, 2:30 PM",+2.5 (+100) | -2.5 (-108),39% | 61%,47% | 53%,+8%,"13,288",2025-11-14 03:14
Bengals @ Steelers,Spread,"Sun 11/16, 6:00 PM",+5.5 (-107) | -5.5 (-110),65% | 35%,57% | 43%,+8%,"15,252",2025-11-14 03:14
Panthers @ Falcons,Spread,"Sun 11/16, 6:00 PM",+3.5 (-110) | -3.5 (-105),45% | 55%,42% | 58%,+3%,"13,808",2025-11-14 03:14
Texans @ Titans,Spread,"Sun 11/16, 6:00 PM",-6 (-107) | +6.5 (-114),61% | 39%,52% | 48%,+9%,"9,966",2025-11-14 03:14
Bears @ Vikings,Spread,"Sun 11/16, 6:00 PM",+3 (-115) | -2.5 (-115),63% | 37%,79% | 21%,+16%,"16,352",2025-11-14 03:14
Buccaneers @ Bills,Spread,"Sun 11/16, 6:00 PM",+5.5 (-105) | -5.5 (-110),62% | 38%,57% | 43%,+5%,"11,657",2025-11-14 03:14
Chargers @ Jaguars,Spread,"Sun 11/16, 6:00 PM",-3 (-102) | +3 (-113),68% | 32%,71% | 29%,+3%,"11,299",2025-11-14 03:14
Seahawks @ Rams,Spread,"Sun 11/16, 9:05 PM",+3.5 (-120) | -3 (-105),74% | 26%,80% | 20%,+6%,"14,292",2025-11-14 03:14
49ers @ Cardinals,Spread,"Sun 11/16, 9:05 PM",-3 (-107) | +3 (-102),70% | 30%,66% | 34%,+4%,"10,092",2025-11-14 03:14
Ravens @ Browns,Spread,"Sun 11/16, 9:25 PM",-7.5 (-108) | +7.5 (-105),76% | 24%,68% | 32%,+8%,"16,751",2025-11-14 03:14
Chiefs @ Broncos,Spread,"Sun 11/16, 9:25 PM",-3.5 (-114) | +4 (-110),57% | 43%,77% | 23%,+20%,"18,266",2025-11-14 03:14
Lions @ Eagles,Spread,"Mon 11/17, 1:20 AM",+2.5 (+100) | -2.5 (-114),81% | 19%,83% | 17%,+2%,"14,792",2025-11-14 03:14
Cowboys @ Raiders,Spread,"Tue 11/18, 1:15 AM",-3.5 (-102) | +3.5 (-110),80% | 20%,78% | 22%,+2%,"7,366",2025-11-14 03:14
Jets @ Patriots,Spread,3RD 3:24,+12.5 (-105) | -12.5 (-110),41% | 59%,38% | 62%,+3%,"188,705",2025-11-14 03:14
Packers @ Giants,Total,"Sun 11/16, 6:00 PM",o42.5 (-110) | u42.5 (-105),70% | 30%,63% | 37%,+7%,"12,843",2025-11-14 03:15
Commanders @ Dolphins,Total,"Sun 11/16, 2:30 PM",o47.5 (-104) | u47.5 (-108),10% | 90%,6% | 94%,+4%,"13,288",2025-11-14 03:15
Bengals @ Steelers,Total,"Sun 11/16, 6:00 PM",o49.5 (-102) | u49.5 (-110),34% | 66%,31% | 69%,+3%,"15,252",2025-11-14 03:15
Panthers @ Falcons,Total,"Sun 11/16, 6:00 PM",o42.5 (-106) | u42.5 (-110),55% | 45%,59% | 41%,+4%,"13,808",2025-11-14 03:15
Texans @ Titans,Total,"Sun 11/16, 6:00 PM",o37.5 (-102) | u37 (-108),70% | 30%,60% | 40%,+10%,"9,966",2025-11-14 03:15
Bears @ Vikings,Total,"Sun 11/16, 6:00 PM",o47.5 (-120) | u48.5 (-110),59% | 41%,78% | 22%,+19%,"16,352",2025-11-14 03:15
Buccaneers @ Bills,Total,"Sun 11/16, 6:00 PM",o47 (-110) | u47.5 (-110),41% | 59%,33% | 67%,+8%,"11,657",2025-11-14 03:15
