model,side,edge_threshold,price_edge_threshold,model_prob_threshold,min_agreement_count,bets,wins,pushes,losses,win_pct,units,roi_pct,seasons,profitable_seasons,profitable_season_pct,worst_season_units
WARPS v1.5d,ALL,1.0,0.05,0.5,2,29,11,1,17,39.29,-6.822,-24.36,3,1,33.33,-4.867
WARPS v1.5d,ALL,1.0,0.05,0.5,3,29,11,1,17,39.29,-6.822,-24.36,3,1,33.33,-4.867
WARPS v1.5d,ALL,1.0,0.05,0.5,4,29,11,1,17,39.29,-6.822,-24.36,3,1,33.33,-4.867
WARPS v1.5d,ALL,1.0,0.05,0.55,1,29,11,1,17,39.29,-6.822,-24.36,3,1,33.33,-4.867
WARPS v1.5d,ALL,1.0,0.05,0.55,2,29,11,1,17,39.29,-6.822,-24.36,3,1,33.33,-4.867
WARPS v1.5d,ALL,1.0,0.05,0.55,3,29,11,1,17,39.29,-6.822,-24.36,3,1,33.33,-4.867
WARPS v1.5d,ALL,1.0,0.05,0.55,4,29,11,1,17,39.29,-6.822,-24.36,3,1,33.33,-4.867
WARPS v1.5d,ALL,1.0,0.05,0.6,1,29,11,1,17,39.29,-6.822,-24.36,3,1,33.33,-4.867
WARPS v1.5d,ALL,1.0,0.05,0.6,2,29,11,1,17,39.29,-6.822,-24.36,3,1,33.33,-4.867
WARPS v1.5d,ALL,1.0,0.05,0.6,3,29,11,1,17,39.29,-6.822,-24.36,3,1,33.33,-4.867
WARPS v1.5d,ALL,1.0,0.05,0.6,4,29,11,1,17,39.29,-6.822,-24.36,3,1,33.33,-4.867
WARPS v1.5d,ALL,1.0,0.1,0.5,1,26,9,1,16,36.0,-7.155,-28.62,3,1,33.33,-4.178
WARPS v1.5d,ALL,1.0,0.1,0.5,2,26,9,1,16,36.0,-7.155,-28.62,3,1,33.33,-4.178
WARPS v1.5d,ALL,1.0,0.1,0.5,3,26,9,1,16,36.0,-7.155,-28.62,3,1,33.33,-4.178
WARPS v1.5d,ALL,1.0,0.1,0.5,4,26,9,1,16,36.0,-7.155,-28.62,3,1,33.33,-4.178
WARPS v1.5d,ALL,1.0,0.1,0.55,1,26,9,1,16,36.0,-7.155,-28.62,3,1,33.33,-4.178
WARPS v1.5d,ALL,1.0,0.1,0.55,2,26,9,1,16,36.0,-7.155,-28.62,3,1,33.33,-4.178
WARPS v1.5d,ALL,1.0,0.1,0.55,3,26,9,1,16,36.0,-7.155,-28.62,3,1,33.33,-4.178
WARPS v1.5d,ALL,1.0,0.1,0.55,4,26,9,1,16,36.0,-7.155,-28.62,3,1,33.33,-4.178
WARPS v1.5d,ALL,1.0,0.1,0.6,1,26,9,1,16,36.0,-7.155,-28.62,3,1,33.33,-4.178
WARPS v1.5d,ALL,1.0,0.1,0.6,2,26,9,1,16,36.0,-7.155,-28.62,3,1,33.33,-4.178
WARPS v1.5d,ALL,1.0,0.1,0.6,3,26,9,1,16,36.0,-7.155,-28.62,3,1,33.33,-4.178
WARPS v1.5d,ALL,1.0,0.1,0.6,4,26,9,1,16,36.0,-7.155,-28.62,3,1,33.33,-4.178
WARPS v1.5d,ALL,1.5,0.0,0.5,1,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.0,0.5,2,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.0,0.5,3,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.0,0.5,4,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.0,0.55,1,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.0,0.55,2,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.0,0.55,3,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.0,0.55,4,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.0,0.6,1,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.0,0.6,2,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.0,0.6,3,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.0,0.6,4,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.05,0.5,1,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.05,0.5,2,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.05,0.5,3,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.05,0.5,4,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.05,0.55,1,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.05,0.55,2,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.05,0.55,3,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.05,0.55,4,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
WARPS v1.5d,ALL,1.5,0.05,0.6,1,11,5,0,6,45.45,-0.81,-7.37,3,2,66.67,-3.0
