matchup,referee,time,week,away_team,home_team
Raiders at Broncos,Bill Vinovich,8:15 p.m.,10,Raiders,Broncos
Falcons vs. Colts,Clete Blakeman,9:30 a.m.,10,Falcons,Colts
Saints at Panthers,Brad Allen,1 p.m.,10,Saints,Panthers
Giants at Bears,Adrian Hill,1 p.m.,10,Giants,Bears
Jaguars at Texans,Alex Moore,1 p.m.,10,Jaguars,Texans
Bills at Dolphins,Ron Torbert,1 p.m.,10,Bills,Dolphins
Ravens at Vikings,Shawn Hochuli,1 p.m.,10,Ravens,Vikings
Browns at Jets,Shawn Smith,1 p.m.,10,Browns,Jets
Patriots at Buccaneers,Alex Kemp,1 p.m.,10,Patriots,Buccaneers
Cardinals at Seahawks,Alan Eck,4:05 p.m.,10,Cardinals,Seahawks
Rams at 49ers,Land Clark,4:25 p.m.,10,Rams,49ers
Lions at Commanders,Scott Novak,4:25 p.m.,10,Lions,Commanders
Steelers at Chargers,Brad Rogers,8:20 p.m.,10,Steelers,Chargers
Eagles at Packers,Clay Martin,8:15 p.m.,10,Eagles,Packers
