season,team,proj,actual,pyth_fc
2025,MIN,9.341,9.0,11.069
2025,NE,6.83,14.0,5.023
2025,NO,7.943,6.0,6.874
2025,NYG,5.607,4.0,4.597
2025,NYJ,7.427,3.0,6.73
2025,PHI,10.642,11.0,12.444
2025,PIT,8.822,10.0,9.412
2025,SEA,9.059,14.0,8.69
2025,SF,8.865,12.0,7.358
2025,TB,10.278,8.0,11.088
2025,TEN,6.928,3.0,4.818
2025,WAS,8.935,5.0,10.624
