team,v17_wins,market_total,v17_edge,v17_signal,v15d_wins,v15d_edge,v15d_signal,v16_wins,v16_edge,v16_signal,consensus,avg_edge,min_edge,max_edge,edge_range
NO,8.321826460327477,4.5,3.821826460327477,Strong Over,8.763408101620893,4.263408101620893,Strong Over,8.250600255521444,3.750600255521445,Strong Over,3-model Over,3.9452782724899382,3.750600255521445,4.263408101620893,0.5128078460994483
NE,11.466608332744554,8.5,2.9666083327445545,Strong Over,11.106567408083,2.6065674080830004,Strong Over,11.843515460609163,3.3435154606091637,Strong Over,3-model Over,2.972230400478906,2.6065674080830004,3.3435154606091637,0.7369480525261634
JAX,10.414955595008292,7.5,2.9149555950082924,Strong Over,9.885759188869322,2.385759188869322,Strong Over,10.688559749751116,3.188559749751116,Strong Over,3-model Over,2.8297581778762435,2.385759188869322,3.188559749751116,0.8028005608817939
NYG,7.561929068944509,5.5,2.061929068944509,Strong Over,7.615360782047911,2.115360782047911,Strong Over,7.416648831628344,1.9166488316283443,Strong Over,3-model Over,2.031312894206921,1.9166488316283443,2.115360782047911,0.19871195041956646
IND,9.136536304645407,7.5,1.6365363046454071,Strong Over,8.935741387336886,1.4357413873368865,Playable Over,9.211927477495417,1.7119274774954167,Strong Over,3-model Over,1.59473505649257,1.4357413873368865,1.7119274774954167,0.27618609015853024
ARI,5.88001512164151,4.5,1.3800151216415104,Playable Over,6.417986778026666,1.9179867780266664,Strong Over,5.518732801753117,1.0187328017531172,Playable Over,2-Strong Over,1.4389115671404313,1.0187328017531172,1.9179867780266664,0.8992539762735492
MIA,5.888093580218485,4.5,1.3880935802184853,Playable Over,6.027087958972335,1.5270879589723352,Strong Over,5.487757777311355,0.9877577773113552,No bet / lean only,2-model Over,1.300979772167392,0.9877577773113552,1.5270879589723352,0.53933018166098
ATL,7.7030478330772985,6.5,1.2030478330772985,Playable Over,7.988869867884504,1.488869867884504,Playable Over,7.562465376369909,1.062465376369909,Playable Over,2-Strong Over,1.2514610257772372,1.062465376369909,1.488869867884504,0.42640449151459503
CLE,6.373955931570308,5.5,0.8739559315703076,No bet / lean only,6.67778506994756,1.1777850699475598,Playable Over,5.966198210956306,0.4661982109563061,No bet / lean only,Split / No bet,0.8393130708247245,0.4661982109563061,1.1777850699475598,0.7115868589912537
WAS,7.977830544855609,7.5,0.4778305448556086,No bet / lean only,8.443441074919694,0.9434410749196936,No bet / lean only,7.88338842523122,0.3833884252312201,No bet / lean only,Split / No bet,0.6015533483355074,0.3833884252312201,0.9434410749196936,0.5600526496884736
