w_pyth_edge,w_pass_epa,w_point_diff,regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,pw_mae,warps_rmse,n,years
0.5,0.15,0.35,0.75,0.0,5.5,2.3594297497696624,2.5877737034133133,2.8815977175463625,2.871162295679605,702,2000-2021
0.1,0.05,0.85,0.75,0.0,5.5,2.359471367104813,2.5877737034133133,2.8815977175463625,2.870049119514942,702,2000-2021
0.25,0.1,0.65,0.75,0.0,5.5,2.3595989015795995,2.5877737034133133,2.8815977175463625,2.8701887861526263,702,2000-2021
0.45,0.15,0.4,0.75,0.0,5.5,2.3596279771148954,2.5877737034133133,2.8815977175463625,2.8710372170383467,702,2000-2021
0.05,0.05,0.9,0.75,0.0,5.5,2.3597106421493903,2.5877737034133133,2.8815977175463625,2.870124028214966,702,2000-2021
0.2,0.1,0.7,0.75,0.0,5.5,2.359822408801893,2.5877737034133133,2.8815977175463625,2.8701887767247083,702,2000-2021
0.4,0.15,0.45,0.75,0.0,5.5,2.359825278281831,2.5877737034133133,2.8815977175463625,2.870936941936617,702,2000-2021
0.0,0.05,0.95,0.75,0.0,5.5,2.3600020663327737,2.5877737034133133,2.8815977175463625,2.8702233358866738,702,2000-2021
0.35,0.15,0.5,0.75,0.0,5.5,2.360044519452017,2.5877737034133133,2.8815977175463625,2.870861434382526,702,2000-2021
0.15,0.1,0.75,0.75,0.0,5.5,2.360051583119325,2.5877737034133133,2.8815977175463625,2.8702133432791532,702,2000-2021
0.8,0.2,-0.0,0.75,0.0,5.5,2.3600757530030796,2.5877737034133133,2.8815977175463625,2.8734277434323077,702,2000-2021
0.75,0.2,0.05,0.75,0.0,5.5,2.3600962201397153,2.5877737034133133,2.8815977175463625,2.873151536449057,702,2000-2021
0.7,0.2,0.1,0.75,0.0,5.5,2.360135226327919,2.5877737034133133,2.8815977175463625,2.872900329684091,702,2000-2021
0.65,0.2,0.15,0.75,0.0,5.5,2.360177198503546,2.5877737034133133,2.8815977175463625,2.872674098921257,702,2000-2021
0.6,0.2,0.2,0.75,0.0,5.5,2.360218455686374,2.5877737034133133,2.8815977175463625,2.8724728179257153,702,2000-2021
0.3,0.15,0.55,0.75,0.0,5.5,2.360276580177447,2.5877737034133133,2.8815977175463625,2.870810656480723,702,2000-2021
0.1,0.1,0.8,0.75,0.0,5.5,2.3602801619400036,2.5877737034133133,2.8815977175463625,2.870262440603759,702,2000-2021
0.55,0.2,0.25,0.75,0.0,5.5,2.3602822964858583,2.5877737034133133,2.8815977175463625,2.872296458461597,702,2000-2021
0.5,0.2,0.3,0.75,0.0,5.5,2.360408468330518,2.5877737034133133,2.8815977175463625,2.8721449903101144,702,2000-2021
0.25,0.15,0.6,0.75,0.0,5.5,2.3605077327460715,2.5877737034133133,2.8815977175463625,2.8707845684524385,702,2000-2021
0.05,0.1,0.85,0.75,0.0,5.5,2.3605337453549544,2.5877737034133133,2.8815977175463625,2.8703360216898006,702,2000-2021
0.45,0.2,0.35,0.75,0.0,5.5,2.36057152305352,2.5877737034133133,2.8815977175463625,2.872018381288104,702,2000-2021
0.2,0.15,0.65,0.75,0.0,5.5,2.3607379745121113,2.5877737034133133,2.8815977175463625,2.870783128655883,702,2000-2021
0.0,0.1,0.9,0.75,0.0,5.5,2.360786374381408,2.5877737034133133,2.8815977175463625,2.8704340377536193,702,2000-2021
0.4,0.2,0.4,0.75,0.0,5.5,2.3607957178347316,2.5877737034133133,2.8815977175463625,2.8719165972669947,702,2000-2021
0.15,0.15,0.7,0.75,0.0,5.5,2.360967302908846,2.5877737034133133,2.8815977175463625,2.870806293606995,702,2000-2021
