w_pass_epa,w_rush_epa,w_success,w_explosive,w_point_diff,w_pyth_edge,w_turnover,config_name,regression_factor,sos_weight,logit_scale,warps_mae,pyth_mae,prior_wins_mae,warps_rmse,pyth_rmse,prior_wins_rmse,n,years
0.005091965978100481,0.027468821365550018,0.3181113344928556,0.020448182774708147,0.10636907355225982,0.5159907050171071,0.006519916819418931,random_0053,0.65,0.0,6.5,2.296542875930438,2.4003287119947974,2.72972972972973,2.750469788686482,2.9640929337936237,3.4242116209757283,223,2015-2021
0.005907186914057444,0.03262171137544384,0.47744966847822856,0.05836086497319111,0.31385475193310325,0.08072593966615227,0.031079876659823497,random_0126,0.65,0.0,6.5,2.297153521496953,2.4003287119947974,2.72972972972973,2.7491223218573104,2.9640929337936237,3.4242116209757283,223,2015-2021
0.0031027436312471655,0.012568583463874699,0.5038952761698093,0.051331027598620536,0.21493247002382443,0.14363959154514147,0.07053030756748233,random_0259,0.65,0.0,6.5,2.2976304002395063,2.4003287119947974,2.72972972972973,2.7482262745987662,2.9640929337936237,3.4242116209757283,223,2015-2021
0.010225491186846986,0.09547801557870099,0.46117745930553783,0.015096002557404684,0.07306862197820772,0.20991570513727412,0.1350387042560277,random_0037,0.65,0.0,6.5,2.2990094744360308,2.4003287119947974,2.72972972972973,2.755269835131974,2.9640929337936237,3.4242116209757283,223,2015-2021
0.06416063395312352,0.013761810500194174,0.35714524226296257,0.021080331803339483,0.4298997185703886,0.08461923016555198,0.029333032744439706,random_0142,0.65,0.0,6.5,2.2990602600918817,2.4003287119947974,2.72972972972973,2.7517593562685283,2.9640929337936237,3.4242116209757283,223,2015-2021
0.10737238717138275,0.08169151243751818,0.5240441122380565,0.017450749626547364,0.14131722727146534,0.0616282943291503,0.06649571692587967,random_0226,0.65,0.0,6.5,2.30002267288147,2.4003287119947974,2.72972972972973,2.75285580892019,2.9640929337936237,3.4242116209757283,223,2015-2021
0.03553635309992143,0.18985067690664897,0.6416932329959453,0.018279432176427888,0.0014210984351944729,0.09668599762351915,0.016533208762342832,random_0442,0.65,0.0,6.5,2.3006537090715886,2.4003287119947974,2.72972972972973,2.7608882420429506,2.9640929337936237,3.4242116209757283,223,2015-2021
0.017590156222359977,0.1568866729031432,0.29892510664761807,0.024697628852467027,0.033818436828554205,0.4431875396386488,0.024894458907208667,random_0195,0.65,0.0,6.5,2.3011493960775993,2.4003287119947974,2.72972972972973,2.7605537667389437,2.9640929337936237,3.4242116209757283,223,2015-2021
0.0046354765686960585,0.056065065306115165,0.18578754783565368,0.034343104666632984,0.1704669563804291,0.5336818730922844,0.015019976150188553,random_0205,0.65,0.0,6.5,2.3013861683621193,2.4003287119947974,2.72972972972973,2.759742396581403,2.9640929337936237,3.4242116209757283,223,2015-2021
0.12014007859845967,0.18570607777054657,0.5985375717762251,0.0061188524202553185,0.052072165845957114,0.019875979988083603,0.017549273600472412,random_0047,0.65,0.0,6.5,2.301474007852894,2.4003287119947974,2.72972972972973,2.760440296931821,2.9640929337936237,3.4242116209757283,223,2015-2021
