pred_bucket,teams,avg_projected_wins,avg_actual_wins,avg_error,mae
"(5.4159999999999995, 7.143]",59,6.668480337667937,6.296610169491525,0.3718701681764111,2.3168097205922606
"(7.143, 7.736]",58,7.47367906306992,7.482758620689655,-0.009079557619735341,2.7648533814280456
"(7.736, 8.248]",59,7.98180832229054,7.711864406779661,0.2699439155108782,2.265741774364113
"(8.248, 8.653]",58,8.45096695842252,8.577586206896552,-0.12661924847403339,2.1238814307915805
"(8.653, 9.359]",58,8.969780388080979,9.362068965517242,-0.39228857743626355,2.7739315221947476
"(9.359, 10.837]",59,9.81168086482851,9.94915254237288,-0.1374716775443708,2.144557639968495
