warps_mae_full_bs,pyth_mae_full_bs,pw_mae_full_bs,diff_wp_full_bs,diff_wpw_full_bs,warps_mae_val_bs,pyth_mae_val_bs,diff_wp_val_bs
2.2096188026566796,2.348148171692237,2.642857142857143,-0.13852936903555735,-0.43323834020046315,2.4597921953117172,2.7533925588563424,-0.29360036354462515
2.4902816388033098,2.6114900387792686,2.8642857142857143,-0.12120839997595878,-0.37400407548240455,2.554709976359092,2.7417919221561355,-0.1870819457970434
2.3040787848255935,2.500697123833549,2.7314285714285713,-0.19661833900795544,-0.42734978660297784,2.539377726509012,2.8277264636272377,-0.2883487371182256
2.42665126147326,2.6148029025972637,2.882857142857143,-0.18815164112400362,-0.45620588138388296,2.8483758749176538,3.0735150455004074,-0.22513917058275368
2.2405267055176177,2.47989604613806,2.787142857142857,-0.23936934062044246,-0.5466161516252392,2.4404890527372363,2.7454278060888226,-0.3049387533515864
2.5419639914110985,2.794680943959412,3.1785714285714284,-0.2527169525483135,-0.6366074371603299,2.2525557006532146,2.3586293753262892,-0.1060736746730746
2.3877663570572514,2.597277407263992,2.81,-0.20951105020674055,-0.4222336429427487,2.523190419807306,2.718395187724963,-0.19520476791765695
2.2931714937535745,2.374954198374561,2.6414285714285715,-0.08178270462098647,-0.3482570776749969,2.5938104578750103,2.817095414127978,-0.22328495625296751
2.3142307512190614,2.4703774441562403,2.7657142857142856,-0.15614669293717887,-0.45148353449522416,2.358247924798822,2.651249603054433,-0.2930016782556111
2.295826112377102,2.4639348400599568,2.854285714285714,-0.16810872768285456,-0.5584596019086119,2.2672635205890357,2.5363261359563456,-0.2690626153673099
2.450751322633838,2.6223811221823365,2.9242857142857144,-0.17162979954849833,-0.47353439165187616,2.2771472216329487,2.4917969670630766,-0.21464974543012794
2.4075623860538045,2.5865111030369214,2.7914285714285714,-0.17894871698311698,-0.3838661853747669,2.819514361918035,2.967761534104284,-0.14824717218624883
2.289285615379475,2.464353302165607,2.7742857142857145,-0.17506768678613227,-0.4850000989062395,2.8388953379095243,3.171392572308752,-0.3324972343992276
2.3980406562794316,2.6125589690658106,2.8842857142857143,-0.214518312786379,-0.4862450580062827,2.3955447646235353,2.5826941531359067,-0.1871493885123714
2.21271774302637,2.4359569726374133,2.692857142857143,-0.22323922961104348,-0.48013939983077325,2.7225150272581606,2.903700443874837,-0.18118541661667642
2.3790383030490583,2.6161915784133676,2.9042857142857144,-0.2371532753643093,-0.5252474112366561,2.495103066487606,2.7742469318593077,-0.27914386537170177
2.3666177132497705,2.4624689863979095,2.7457142857142856,-0.0958512731481389,-0.379096572464515,2.4166246362739296,2.7657495329816904,-0.3491248967077607
2.528204616028146,2.747623636443526,2.9285714285714284,-0.21941902041537986,-0.40036681254328244,2.492697325959328,2.595295301549865,-0.10259797559053707
2.458313533361068,2.601347800040638,2.83,-0.14303426667956964,-0.3716864666389319,2.6825822147163754,2.802279406422664,-0.11969719170628856
2.298438487529647,2.524421789798185,2.9285714285714284,-0.22598330226853802,-0.6301329410417815,2.8159347019599874,3.166162887820378,-0.3502281858603906
2.432299829926071,2.535250161798933,2.71,-0.10295033187286196,-0.277700170073929,2.6215976245724675,2.787602827345432,-0.16600520277296438
2.2233670388377837,2.314578609222705,2.6185714285714288,-0.09121157038492145,-0.395204389733645,2.4803455975729323,2.707819691480222,-0.2274740939072899
2.506668202751636,2.6521991276182884,2.874285714285714,-0.14553092486665253,-0.3676175115340783,2.463156921957151,2.6525361790857795,-0.18937925712862835
2.405768145409367,2.54381502340772,2.7257142857142855,-0.13804687799835325,-0.31994614030491864,2.2687912603826006,2.4203776245899684,-0.15158636420736782
2.329717690676005,2.431324005489223,2.6914285714285713,-0.10160631481321802,-0.3617108807525664,2.6094854631150186,2.6962574865245728,-0.08677202340955414
2.296646666822249,2.506490674796812,2.71,-0.20984400797456315,-0.413353333177751,2.512595855595892,2.7419345538992017,-0.22933869830330966
2.394461422756478,2.5224237421349907,2.7614285714285716,-0.12796231937851266,-0.36696714867209357,2.3987198538212953,2.6715073475044924,-0.2727874936831971
2.367943039733545,2.544001154063293,2.8214285714285716,-0.17605811432974816,-0.4534855316950268,2.6408815376841597,2.8258637791029013,-0.18498224141874164
2.361416913649747,2.5028097498877417,2.797142857142857,-0.1413928362379946,-0.43572594349311,2.536447423117063,2.6753516171195457,-0.13890419400248266
2.232922002320255,2.4376733988614525,2.657142857142857,-0.20475139654119756,-0.4242208548226021,2.4997819211177053,2.6713312964505955,-0.17154937533289027
2.3765273372330085,2.534700109964778,2.6471428571428572,-0.15817277273176966,-0.2706155199098488,2.588240788897446,2.791603715211709,-0.2033629263142629
2.3276186401581884,2.5631569215476,2.994285714285714,-0.2355382813894118,-0.6666670741275258,2.3980908890140054,2.784216835780637,-0.3861259467666316
2.39253772782086,2.5812096308763213,2.7928571428571427,-0.18867190305546133,-0.40031941503628277,2.6782200173356387,2.897908796423253,-0.21968877908761408
2.175883608413535,2.296439163507814,2.6085714285714285,-0.12055555509427895,-0.43268782015789364,2.490809195032754,2.8144643811496906,-0.32365518611693656
2.40140776427274,2.5724577446785317,2.927142857142857,-0.17104998040579167,-0.525735092870117,2.508916978224783,2.729086998965565,-0.22017002074078196
2.32849578094489,2.5293701916083995,2.8857142857142857,-0.20087441066350964,-0.5572185047693958,2.631402427853179,2.882330995984641,-0.2509285681314619
2.470379137629723,2.701337678712596,2.902857142857143,-0.23095854108287295,-0.43247800522741997,2.6020414133779974,2.810173762627241,-0.20813234924924373
2.426436243821105,2.635360290904619,3.0157142857142856,-0.2089240470835141,-0.5892780418931807,2.4882086159868475,2.7810984495874207,-0.2928898336005732
2.3305135368796748,2.548623605001484,2.98,-0.21811006812180933,-0.6494864631203252,2.4363564482889988,2.6330516820781424,-0.19669523378914366
2.3078624000804457,2.504355431366256,2.63,-0.1964930312858102,-0.32213759991955415,2.58592982762398,2.8784944250891558,-0.2925645974651756
2.3715713298953602,2.551152814769867,2.82,-0.17958148487450698,-0.4484286701046396,2.6677171538170557,2.9484115426125683,-0.2806943887955127
2.4271188969645427,2.530282909818187,2.802857142857143,-0.1031640128536444,-0.3757382458926002,2.4036442092488812,2.676116378205273,-0.2724721689563916
2.494013057329533,2.6678740508392296,2.912857142857143,-0.17386099350969664,-0.4188440855276099,2.555821299722953,2.7862363142334976,-0.23041501451054458
2.410066336447391,2.6096162022496516,2.93,-0.19954986580226075,-0.5199336635526093,2.5477878662130213,2.947156982602122,-0.39936911638910066
2.3491912556046968,2.4270575836903245,2.775714285714286,-0.07786632808562777,-0.42652303010958903,2.5618322769190414,2.8349275674627927,-0.27309529054375137
2.3847332667188357,2.483558546412876,2.8385714285714285,-0.09882527969404054,-0.45383816185259285,2.315677433385657,2.6480332676355154,-0.33235583424985826
2.455174892852379,2.57227765724898,2.795714285714286,-0.11710276439660072,-0.3405393928619067,2.5646780707181893,2.7295926825205816,-0.1649146118023923
2.240041167317397,2.3924900230436483,2.662857142857143,-0.15244885572625133,-0.4228159755397458,2.7628153649400455,3.108725564006,-0.3459101990659543
2.2701826313745173,2.3446851491105067,2.592857142857143,-0.07450251773598948,-0.3226745114826257,2.2528660406301326,2.5191407822340164,-0.26627474160388376
2.3489796547458703,2.4363910406601232,2.612857142857143,-0.0874113859142529,-0.26387748811127265,2.5689175579795753,2.7302766664765867,-0.1613591084970114
2.292335898564779,2.4897722583145776,2.69,-0.19743635974979856,-0.3976641014352209,2.584844475822119,2.8330939327105797,-0.24824945688846078
2.336061039282894,2.4702908838582407,2.807142857142857,-0.13422984457534648,-0.4710818178599627,2.3790425862951574,2.646133839974399,-0.2670912536792418
2.3292189363910856,2.5027217541965854,2.7285714285714286,-0.1735028178054998,-0.3993524921803431,2.277901612490809,2.418993759116339,-0.14109214662552994
2.3527860049636065,2.5777539532946303,3.0228571428571427,-0.22496794833102385,-0.6700711378935362,2.5948872779342613,2.9260241334407833,-0.33113685550652194
2.407733969618569,2.599763975732854,2.861428571428571,-0.192030006114285,-0.4536946018100023,2.562658141385275,2.8221040198939615,-0.2594458785086866
2.3053156064337053,2.4944166270887203,2.6285714285714286,-0.189101020655015,-0.3232558221377233,2.345042721042539,2.710121786409799,-0.3650790653672602
2.35178010976948,2.524711456120852,2.73,-0.1729313463513722,-0.37821989023052005,2.3851765935481613,2.7453408737165015,-0.36016428016834023
2.2672840272832087,2.3590297292635567,2.5385714285714287,-0.09174570198034804,-0.27128740128822004,2.848167258693742,3.1187557996527806,-0.2705885409590385
2.2959828220517804,2.473430588804696,2.787142857142857,-0.17744776675291574,-0.49116003509107653,2.419594120507279,2.7571277499632245,-0.33753362945594567
2.4274556603979662,2.6042448350183065,2.81,-0.17678917462034027,-0.3825443396020338,2.5845422637007616,2.850487944936787,-0.26594568123602524
2.3541622336772066,2.4717832365915537,2.6914285714285713,-0.11762100291434718,-0.3372663377513647,2.7279834142330825,2.9920226911754324,-0.26403927694234985
2.3008726186578206,2.4003728749005173,2.644285714285714,-0.09950025624269676,-0.34341309562789357,2.7362579760022023,2.9761504982688747,-0.23989252226667235
2.3443670091089173,2.5129744741726006,2.777142857142857,-0.1686074650636833,-0.43277584803393987,2.5663234333808775,2.802544009531256,-0.2362205761503784
2.6364710299210814,2.76054661080252,2.9957142857142856,-0.12407558088143844,-0.35924325579320415,2.5535438763130904,2.6789753307843283,-0.12543145447123782
2.375727534710527,2.571763027040569,2.9585714285714286,-0.19603549233004225,-0.5828438938609017,2.374346947767862,2.6413443409658814,-0.2669973931980194
2.3631771836505124,2.5034830251722013,2.755714285714286,-0.1403058415216889,-0.39253710206377335,2.5157549853734062,2.625642586732272,-0.10988760135886588
2.353714568423316,2.514655478756478,2.744285714285714,-0.16094091033316182,-0.39057114586239816,2.386831752457984,2.5522673768644246,-0.16543562440644077
2.4434623219223397,2.6061353171128334,2.7742857142857145,-0.16267299519049372,-0.33082339236337477,2.854145445529247,3.0606919064998017,-0.2065464609705545
