season,week,matchup_key,away_team,home_team,spread_pick_side,spread_pick_team,spread_edge_points,favorite_side,ref_key,ref_n,ref_ats_for_our_side,ref_alignment,spread_result,pick_wins,spread_roi
2015,11,LV@DET,LV,DET,HOME,DET,8.511,AWAY,,0,,unknown,win,True,1.0
2015,11,SF@SEA,SF,SEA,AWAY,SF,7.765,HOME,edhochuli,234,0.5128205128205128,aligned,loss,False,-1.0
2015,11,LAR@BAL,LAR,BAL,HOME,BAL,2.139,HOME,,0,,unknown,push,False,0.0
2015,11,WAS@CAR,WAS,CAR,AWAY,WAS,2.681,HOME,jeromeboger,133,0.5037593984962406,aligned,loss,False,-1.0
2015,11,BUF@NE,BUF,NE,AWAY,BUF,4.029,HOME,genesteratore,133,0.5413533834586466,aligned,push,False,0.0
2015,12,CAR@DAL,CAR,DAL,HOME,DAL,5.079,AWAY,rontorbert,0,,unknown,loss,False,-1.0
2015,12,ARI@SF,ARI,SF,HOME,SF,8.267,AWAY,petermorelli,182,0.510989010989011,aligned,win,True,0.9615
2015,12,MIA@NYJ,MIA,NYJ,AWAY,MIA,5.667,HOME,billvinovich,88,0.5568181818181819,strong_aligned,loss,False,-1.0
2015,12,NE@DEN,NE,DEN,HOME,DEN,3.583,AWAY,edhochuli,234,0.5128205128205128,aligned,win,True,0.9346
2015,12,LV@TEN,LV,TEN,HOME,TEN,3.694,AWAY,,0,,unknown,loss,False,-1.0
2015,12,LAC@JAX,LAC,JAX,AWAY,LAC,6.187,HOME,,0,,unknown,win,True,1.05
2015,12,LAR@CIN,LAR,CIN,AWAY,LAR,7.742,HOME,,0,,unknown,loss,False,-1.0
2015,12,TB@IND,TB,IND,HOME,IND,3.52,HOME,waltcoleman,218,0.5321100917431193,aligned,win,True,1.15
2015,13,GB@DET,GB,DET,HOME,DET,2.984,AWAY,carlcheffers,104,0.5384615384615384,aligned,loss,False,-1.0
2015,13,ARI@LAR,ARI,LAR,HOME,LAR,4.708,AWAY,,0,,unknown,loss,False,-1.0
2015,13,DEN@LAC,DEN,LAC,HOME,LAC,5.982,AWAY,,0,,unknown,loss,False,-1.0
2015,13,IND@PIT,IND,PIT,AWAY,IND,10.086,HOME,rontorbert,0,,unknown,loss,False,-1.0
2015,13,NYJ@NYG,NYJ,NYG,HOME,NYG,6.583,AWAY,johnhussey,0,,unknown,loss,False,-1.0
