season,week,matchup_key,away_team,home_team,spread_pick_side,spread_pick_team,spread_edge_points,favorite_side,ref_key,ref_n,ref_ats_for_our_side,ref_alignment,spread_result,pick_wins,spread_roi
2021,11,PIT@LAC,PIT,LAC,AWAY,PIT,6.347,HOME,carlcheffers,200,0.5349999999999999,aligned,win,True,1.03
2021,11,SF@JAX,SF,JAX,HOME,JAX,4.702,AWAY,rontorbert,63,0.4126984126984127,weak_conflict,loss,False,-1.0
2021,11,WAS@CAR,WAS,CAR,AWAY,WAS,2.174,HOME,billvinovich,182,0.543956043956044,aligned,win,True,0.8772
2021,11,NYG@TB,NYG,TB,AWAY,NYG,4.722,HOME,craigwrolstad,106,0.49056603773584906,neutral,loss,False,-1.0
2021,12,BUF@NO,BUF,NO,HOME,NO,8.597,AWAY,bradallen,107,0.5420560747663552,aligned,loss,False,-1.0
2021,12,LV@DAL,LV,DAL,AWAY,LV,5.942,HOME,shawnhochuli,45,0.5333333333333333,aligned,win,True,0.9434
2021,12,CAR@MIA,CAR,MIA,HOME,MIA,5.319,AWAY,johnhussey,94,0.5212765957446808,aligned,win,True,0.9901
2021,12,CLE@BAL,CLE,BAL,HOME,BAL,4.084,HOME,jeromeboger,222,0.5045045045045045,aligned,win,True,0.9804
2021,12,LAC@DEN,LAC,DEN,HOME,DEN,3.85,AWAY,landclark,15,0.6,strong_aligned,win,True,1.03
2021,12,LAR@GB,LAR,GB,HOME,GB,4.215,AWAY,,0,,unknown,win,True,0.9091
2021,12,NYJ@HOU,NYJ,HOU,HOME,HOU,3.013,HOME,cleteblakeman,169,0.47928994082840237,neutral,loss,False,-1.0
2021,12,PHI@NYG,PHI,NYG,HOME,NYG,5.409,AWAY,rontorbert,63,0.4126984126984127,weak_conflict,win,True,0.9091
2021,12,PIT@CIN,PIT,CIN,AWAY,PIT,5.899,HOME,billvinovich,182,0.543956043956044,aligned,loss,False,-1.0
2021,12,TB@IND,TB,IND,HOME,IND,3.415,AWAY,shawnsmith,45,0.5333333333333333,aligned,loss,False,-1.0
2021,12,TEN@NE,TEN,NE,AWAY,TEN,6.282,HOME,alexkemp,47,0.42553191489361697,weak_conflict,loss,False,-1.0
2021,13,DAL@NO,DAL,NO,HOME,NO,12.321,AWAY,bradrogers,12,0.6666666666666667,strong_aligned,loss,False,-1.0
2021,13,ARI@CHI,ARI,CHI,HOME,CHI,8.444,AWAY,jeromeboger,222,0.49549549549549554,neutral,loss,False,-1.0
2021,13,BAL@PIT,BAL,PIT,HOME,PIT,3.708,AWAY,scottnovak,30,0.5666666666666667,strong_aligned,win,True,0.9346
2021,13,DEN@KC,DEN,KC,AWAY,DEN,1.825,HOME,carlcheffers,200,0.5349999999999999,aligned,loss,False,-1.0
2021,13,IND@HOU,IND,HOU,HOME,HOU,9.411,AWAY,rontorbert,63,0.4126984126984127,weak_conflict,loss,False,-1.0
2021,13,JAX@LAR,JAX,LAR,AWAY,JAX,6.696,HOME,,0,,unknown,loss,False,-1.0
2021,13,LAC@CIN,LAC,CIN,AWAY,LAC,2.032,HOME,shawnhochuli,45,0.5333333333333333,aligned,win,True,1.04
2021,13,MIN@DET,MIN,DET,HOME,DET,6.54,AWAY,craigwrolstad,106,0.49056603773584906,neutral,win,True,0.9346
2021,13,PHI@NYJ,PHI,NYJ,HOME,NYJ,2.98,AWAY,claymartin,43,0.6744186046511628,strong_aligned,loss,False,-1.0
2021,13,SF@SEA,SF,SEA,HOME,SEA,6.064,AWAY,alexkemp,47,0.42553191489361697,weak_conflict,win,True,0.8333
2021,13,TB@ATL,TB,ATL,HOME,ATL,10.369,AWAY,tonycorrente,316,0.5189873417721519,aligned,loss,False,-1.0
2021,13,NE@BUF,NE,BUF,HOME,BUF,2.523,HOME,bradallen,107,0.45794392523364486,neutral,loss,False,-1.0
2021,14,PIT@MIN,PIT,MIN,AWAY,PIT,4.577,HOME,cleteblakeman,169,0.5207100591715976,aligned,loss,False,-1.0
2021,14,ATL@CAR,ATL,CAR,AWAY,ATL,1.772,HOME,shawnsmith,45,0.5333333333333333,aligned,win,True,0.9615
2021,14,BAL@CLE,BAL,CLE,AWAY,BAL,6.12,HOME,bradrogers,12,0.6666666666666667,strong_aligned,win,True,0.9615
2021,14,BUF@TB,BUF,TB,AWAY,BUF,1.955,HOME,scottnovak,30,0.5666666666666667,strong_aligned,loss,False,-1.0
2021,14,CHI@GB,CHI,GB,AWAY,CHI,7.129,HOME,rontorbert,63,0.4126984126984127,weak_conflict,loss,False,-1.0
2021,14,DAL@WAS,DAL,WAS,HOME,WAS,9.574,AWAY,alexkemp,47,0.42553191489361697,weak_conflict,loss,False,-1.0
2021,14,DET@DEN,DET,DEN,AWAY,DET,8.953,HOME,johnhussey,94,0.5212765957446808,aligned,loss,False,-1.0
2021,14,JAX@TEN,JAX,TEN,AWAY,JAX,2.35,HOME,billvinovich,182,0.543956043956044,aligned,loss,False,-1.0
2021,14,LV@KC,LV,KC,AWAY,LV,4.325,HOME,bradallen,107,0.5420560747663552,aligned,loss,False,-1.0
2021,14,NO@NYJ,NO,NYJ,AWAY,NO,1.733,AWAY,landclark,15,0.4,weak_conflict,win,True,1.03
2021,14,NYG@LAC,NYG,LAC,AWAY,NYG,6.353,HOME,tonycorrente,316,0.5189873417721519,aligned,loss,False,-1.0
2021,14,SEA@HOU,SEA,HOU,HOME,HOU,9.381,AWAY,adrianhill,31,0.5483870967741935,aligned,loss,False,-1.0
2021,14,SF@CIN,SF,CIN,HOME,CIN,1.892,AWAY,craigwrolstad,106,0.49056603773584906,neutral,loss,False,-1.0
2021,14,LAR@ARI,LAR,ARI,AWAY,LAR,2.073,HOME,,0,,unknown,win,True,1.04
2021,15,NE@IND,NE,IND,HOME,IND,4.47,AWAY,,0,,unknown,win,True,0.9091
2021,15,ARI@DET,ARI,DET,HOME,DET,10.775,AWAY,landclark,15,0.6,strong_aligned,win,True,0.9174
2021,15,ATL@SF,ATL,SF,AWAY,ATL,7.452,HOME,claymartin,43,0.6744186046511628,strong_aligned,loss,False,-1.0
2021,15,CAR@BUF,CAR,BUF,AWAY,CAR,7.618,HOME,cleteblakeman,169,0.5207100591715976,aligned,loss,False,-1.0
2021,15,DAL@NYG,DAL,NYG,HOME,NYG,12.999,AWAY,jeromeboger,222,0.49549549549549554,neutral,loss,False,-1.0
2021,15,GB@BAL,GB,BAL,HOME,BAL,13.859,AWAY,bradallen,107,0.5420560747663552,aligned,win,True,0.8621
