season,season_type,week,matchup_key,away_team,home_team,away_tla,home_tla,game,has_initial,initial_classification,initial_classification_label,initial_recommendation,initial_tier_score,initial_total_score,initial_confidence,initial_model_version,initial_signal_classification,initial_pick_market,initial_pick_side,initial_selector_score,initial_pick_reasons,initial_recommendation_trace,initial_data_quality_status,initial_unsafe_sources,initial_degraded_sources,initial_sharp_spread_line,initial_sharp_total_line,initial_sharp_moneyline_line,initial_source_health_status,initial_source_health_warnings,initial_source_health_degraded_sources,initial_source_health_unsafe_sources,initial_source_health_reference_time,has_update,update_classification,update_classification_label,update_recommendation,update_tier_score,update_total_score,update_confidence,update_model_version,update_signal_classification,update_pick_market,update_pick_side,update_selector_score,update_pick_reasons,update_recommendation_trace,update_data_quality_status,update_unsafe_sources,update_degraded_sources,update_sharp_spread_line,update_sharp_total_line,update_sharp_moneyline_line,update_source_health_status,update_source_health_warnings,update_source_health_degraded_sources,update_source_health_unsafe_sources,update_source_health_reference_time,has_lock,lock_classification,lock_classification_label,lock_recommendation,lock_tier_score,lock_total_score,lock_confidence,lock_model_version,lock_signal_classification,lock_pick_market,lock_pick_side,lock_selector_score,lock_pick_reasons,lock_recommendation_trace,lock_data_quality_status,lock_unsafe_sources,lock_degraded_sources,lock_sharp_spread_line,lock_sharp_total_line,lock_sharp_moneyline_line,lock_source_health_status,lock_source_health_warnings,lock_source_health_degraded_sources,lock_source_health_unsafe_sources,lock_source_health_reference_time,has_final,final_classification,final_classification_label,final_recommendation,final_tier_score,final_total_score,final_confidence,final_model_version,final_signal_classification,final_pick_market,final_pick_side,final_selector_score,final_pick_reasons,final_recommendation_trace,final_data_quality_status,final_unsafe_sources,final_degraded_sources,final_sharp_spread_line,final_sharp_total_line,final_sharp_moneyline_line,final_source_health_status,final_source_health_warnings,final_source_health_degraded_sources,final_source_health_unsafe_sources,final_source_health_reference_time,away_score,home_score,final_margin,final_total
2026,PRE,PRE3,HOU@CAR,Houston Texans,Carolina Panthers,HOU,CAR,Houston Texans @ Carolina Panthers,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,5.4,5.4,2026.1,📊 LEAN,none,,1,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""sharp spread edge required""], ""cleared_threshold"": false, ""conflicts"": [], ""has_sharp_edge"": false, ""market"": ""spread"", ""reasons"": [], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""AWAY"", ""signals"": [], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""sharp total edge""], ""score"": 1, ""side"": ""OVER"", ""signals"": [{""impact"": 1, ""score"": 1, ""side"": ""OVER"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-1 (-104) | +1 (-112),o36.5 (-102) | u35.5 (-102),-110 | +102,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,PRE3,KC@TB,Kansas City Chiefs,Tampa Bay Buccaneers,KC,TB,Kansas City Chiefs @ Tampa Bay Buccaneers,False,,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,15,16,-1,31
2026,PRE,PRE3,LAR@LAC,Los Angeles Rams,Los Angeles Chargers,LAR,LAC,Los Angeles Rams @ Los Angeles Chargers,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,5.4,5.4,2026.1,📊 LEAN,none,,0,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""sharp spread edge required""], ""cleared_threshold"": false, ""conflicts"": [], ""has_sharp_edge"": false, ""market"": ""spread"", ""reasons"": [], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""HOME"", ""signals"": [], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [], ""score"": 0, ""side"": ""OVER"", ""signals"": [], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+4 (-109) | -3.5 (-112),o38.5 (-105) | u39.5 (-110),+156 | -178,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,PRE3,LV@HOU,Las Vegas Raiders,Houston Texans,LV,HOU,Las Vegas Raiders @ Houston Texans,False,,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,22,20,2,42
2026,PRE,PRE3,MIN@DEN,Minnesota Vikings,Denver Broncos,MIN,DEN,Minnesota Vikings @ Denver Broncos,True,❌ FADE,AVOID,❌ AVOID: Multiple negative factors align,2,-3.5,3.5,2026.1,❌ FADE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was FADE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+4 (-114) | -3.5 (-107),o37.5 (-110) | u38.5 (-110),+156 | -178,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,PRE3,NE@CLE,New England Patriots,Cleveland Browns,NE,CLE,New England Patriots @ Cleveland Browns,True,⚠️ PASS,PASS,⚠️ PASS: Edge score did not isolate a playable market,3,5.4,5.4,2026.1,📊 LEAN,none,,3,,"{""final_decision"": {""market"": ""none"", ""reason"": ""no market cleared threshold"", ""side"": null}, ""market_candidates"": {""spread"": {""blocked"": true, ""blockers"": [""sharp spread edge required""], ""cleared_threshold"": false, ""conflicts"": [], ""has_sharp_edge"": false, ""market"": ""spread"", ""reasons"": [], ""requires_sharp_edge"": true, ""score"": 0, ""side"": ""AWAY"", ""signals"": [], ""threshold"": 4, ""threshold_adjustments"": []}, ""total"": {""blocked"": false, ""blockers"": [], ""cleared_threshold"": false, ""conflicts"": [], ""market"": ""total"", ""reasons"": [""sharp total edge""], ""score"": 3, ""side"": ""UNDER"", ""signals"": [{""impact"": 3, ""score"": -3, ""side"": ""UNDER"", ""source"": ""sharp"", ""status"": ""aligned""}], ""threshold"": 4}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-2.5 (-110) | +3 (-118),o35 (-108) | u35.5 (-110),-141 | +120,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,PRE3,NO@DAL,New Orleans Saints,Dallas Cowboys,NO,DAL,New Orleans Saints @ Dallas Cowboys,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,1.1,1.1,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,+2.5 (-112) | -1.5 (-105),o38.5 (-105) | u38.5 (-110),+110 | -126,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026,PRE,PRE3,NO@LAR,New Orleans Saints,Los Angeles Rams,NO,LAR,New Orleans Saints @ Los Angeles Rams,False,,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,0,34,-34,34
2026,PRE,PRE3,NYG@MIA,New York Giants,Miami Dolphins,NYG,MIA,New York Giants @ Miami Dolphins,False,,,,,,,,,,,,,,,,,,,,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,26,3,23,29
2026,PRE,PRE3,NYG@NYJ,New York Giants,New York Jets,NYG,NYJ,New York Giants @ New York Jets,True,⚠️ PASS,PASS,"⚠️ PASS: Mixed signals, no clear edge identified",3,3.3,3.3,2026.1,⚠️ LANDMINE,none,,,,"{""final_decision"": {""market"": ""none"", ""reason"": ""signal classification was LANDMINE"", ""side"": null}, ""market_candidates"": {""spread"": {}, ""total"": {}}, ""selector_version"": ""2026.1"", ""source_policy"": {""blocked"": false, ""critical_warnings"": [], ""status"": ""DEGRADED"", ""unsafe_sources"": []}}",DEGRADED,,rotowire,-3 (-112) | +3 (-105),o36.5 (-114) | u36.5 (-104),-152 | +143,DEGRADED,rotowire: missing file path,rotowire,,2026-08-26T23:27:33.946576+00:00,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
