season,week,matchup_key,away_team,home_team,away_tla,home_tla,game,has_initial,initial_classification,initial_classification_label,initial_recommendation,initial_tier_score,initial_total_score,initial_confidence,has_update,update_classification,update_classification_label,update_recommendation,update_tier_score,update_total_score,update_confidence,has_lock,lock_classification,lock_classification_label,lock_recommendation,lock_tier_score,lock_total_score,lock_confidence,away_score,home_score,final_margin,final_total,graded,result,cover_margin,graded_at
2025,15,ARI@HOU,Arizona Cardinals,Houston Texans,ARI,HOU,Arizona Cardinals @ Houston Texans,False,,,,,,,False,,,,,,,False,,,,,,,20,40,-20,60,True,NO BET,,2025-12-25T02:24:35.119143
2025,15,ATL@TB,Atlanta Falcons,Tampa Bay Buccaneers,ATL,TB,Atlanta Falcons @ Tampa Bay Buccaneers,False,,,,,,,False,,,,,,,False,,,,,,,29,28,1,57,True,NO BET,,2025-12-25T02:24:35.119516
2025,15,BAL@CIN,Baltimore Ravens,Cincinnati Bengals,BAL,CIN,Baltimore Ravens @ Cincinnati Bengals,False,,,,,,,False,,,,,,,False,,,,,,,24,0,24,24,True,NO BET,,2025-12-25T02:24:35.119699
2025,15,BUF@NE,Buffalo Bills,New England Patriots,BUF,NE,Buffalo Bills @ New England Patriots,False,,,,,,,False,,,,,,,False,,,,,,,35,31,4,66,True,NO BET,,2025-12-25T02:24:35.119847
2025,15,CAR@NO,Carolina Panthers,New Orleans Saints,CAR,NO,Carolina Panthers @ New Orleans Saints,False,,,,,,,False,,,,,,,False,,,,,,,17,20,-3,37,True,NO BET,,2025-12-25T02:24:35.120004
2025,15,CLE@CHI,Cleveland Browns,Chicago Bears,CLE,CHI,Cleveland Browns @ Chicago Bears,False,,,,,,,False,,,,,,,False,,,,,,,3,31,-28,34,True,NO BET,,2025-12-25T02:24:35.120147
2025,15,DET@LAR,Detroit Lions,Los Angeles Rams,DET,LAR,Detroit Lions @ Los Angeles Rams,False,,,,,,,False,,,,,,,False,,,,,,,34,41,-7,75,True,NO BET,,2025-12-25T02:24:35.120293
2025,15,GB@DEN,Green Bay Packers,Denver Broncos,GB,DEN,Green Bay Packers @ Denver Broncos,False,,,,,,,False,,,,,,,False,,,,,,,26,34,-8,60,True,NO BET,,2025-12-25T02:24:35.120437
2025,15,IND@SEA,Indianapolis Colts,Seattle Seahawks,IND,SEA,Indianapolis Colts @ Seattle Seahawks,False,,,,,,,False,,,,,,,False,,,,,,,16,18,-2,34,True,NO BET,,2025-12-25T02:24:35.120585
2025,15,LAC@KC,Los Angeles Chargers,Kansas City Chiefs,LAC,KC,Los Angeles Chargers @ Kansas City Chiefs,False,,,,,,,False,,,,,,,False,,,,,,,16,13,3,29,True,NO BET,,2025-12-25T02:24:35.120729
2025,15,LV@PHI,Las Vegas Raiders,Philadelphia Eagles,LV,PHI,Las Vegas Raiders @ Philadelphia Eagles,False,,,,,,,False,,,,,,,False,,,,,,,0,31,-31,31,True,NO BET,,2025-12-25T02:24:35.120873
2025,15,MIA@PIT,Miami Dolphins,Pittsburgh Steelers,MIA,PIT,Miami Dolphins @ Pittsburgh Steelers,False,,,,,,,False,,,,,,,False,,,,,,,15,28,-13,43,True,NO BET,,2025-12-25T02:24:35.121016
2025,15,MIN@DAL,Minnesota Vikings,Dallas Cowboys,MIN,DAL,Minnesota Vikings @ Dallas Cowboys,False,,,,,,,False,,,,,,,False,,,,,,,34,26,8,60,True,NO BET,,2025-12-25T02:24:35.121162
2025,15,NYJ@JAX,New York Jets,Jacksonville Jaguars,NYJ,JAX,New York Jets @ Jacksonville Jaguars,False,,,,,,,False,,,,,,,False,,,,,,,20,48,-28,68,True,NO BET,,2025-12-25T02:24:35.121307
2025,15,TEN@SF,Tennessee Titans,San Francisco 49ers,TEN,SF,Tennessee Titans @ San Francisco 49ers,False,,,,,,,False,,,,,,,False,,,,,,,24,37,-13,61,True,NO BET,,2025-12-25T02:24:35.121450
2025,15,WSH@NYG,Washington Commanders,New York Giants,WSH,NYG,Washington Commanders @ New York Giants,False,,,,,,,False,,,,,,,False,,,,,,,29,21,8,50,True,NO BET,,2025-12-25T02:24:35.121594
