key,season,season_type,week,team,opponent,home_away,matchup_key,score_for,score_against,latest_stage,analysis_available,classification,pick_market,pick_side,pick_on_team,selector_score,data_quality_status,source_health_status
TB:PREWPRE2,2026,PRE,PRE2,TB,@NYJ,away,TB@NYJ,24,16,,False,,,,False,,,
LAC:PREWPRE2,2026,PRE,PRE2,LAC,SF,home,SF@LAC,,,update,True,⚠️ PASS,none,,False,,OK,OK
HOU:PREWPRE2,2026,PRE,PRE2,HOU,LV,home,LV@HOU,,,update,True,⚠️ PASS,none,,False,,OK,OK
LAR:PREWPRE2,2026,PRE,PRE2,LAR,NO,home,NO@LAR,,,update,True,❌ FADE,none,,False,,OK,OK
MIA:PREWPRE2,2026,PRE,PRE2,MIA,NYG,home,NYG@MIA,,,update,True,⚠️ PASS,none,,False,,OK,OK
WSH:PREWPRE2,2026,PRE,PRE2,WSH,MIA,home,MIA@WSH,20,7,,False,,,,False,,,
NYG:PREWPRE2,2026,PRE,PRE2,NYG,@MIA,away,NYG@MIA,,,update,True,⚠️ PASS,none,,False,,OK,OK
NYJ:PREWPRE2,2026,PRE,PRE2,NYJ,TB,home,TB@NYJ,16,24,,False,,,,False,,,
PHI:PREWPRE2,2026,PRE,PRE2,PHI,@NE,away,PHI@NE,,,update,True,❌ FADE,none,,False,,OK,OK
TEN:PREWPRE2,2026,PRE,PRE2,TEN,@SF,away,TEN@SF,19,13,,False,,,,False,,,
SF:PREWPRE2,2026,PRE,PRE2,SF,TEN,home,TEN@SF,13,19,,False,,,,False,,,
WAS:PREWPRE2,2026,PRE,PRE2,WAS,@DET,away,WAS@DET,,,update,True,⚠️ PASS,none,,False,,OK,OK
ARI:PREWPRE3,2026,PRE,PRE3,ARI,DAL,home,DAL@ARI,13,34,,False,,,,False,,,
GB:PREWPRE3,2026,PRE,PRE3,GB,@DEN,away,GB@DEN,33,13,,False,,,,False,,,
ATL:PREWPRE3,2026,PRE,PRE3,ATL,@MIA,away,ATL@MIA,,,update,True,⚠️ PASS,none,UNDER,False,5.0,OK,OK
