season,week,team,opponent,matchup_key,game_key,home_away,day,win_probability,fair_moneyline,warps_wins,opponent_warps_wins,division_game,opponent_sos_rank,team_has_bye_before,opponent_has_bye_before,future_safe_spots,future_elite_spots,best_future_win_probability,future_value_cost,volatility_penalty,safety_score,survivor_score,risk_band,tier,reasons
2026,1,DEN,KC,DEN@KC,1:DEN@KC,away,Mon,0.4477,+123,9.52,9.32,True,5,False,False,2,1,0.7072,9.57,6.5,44.77,28.7,avoid,avoid,WARPS win probability 44.8%; Road favorite requires extra caution; Division game raises upset volatility; Save risk: 1 future elite spot(s)
2026,1,ARI,LAC,ARI@LAC,1:ARI@LAC,away,Sun,0.3762,+166,6.68,8.45,False,9,False,False,1,0,0.623,5.64,3.5,37.62,28.48,avoid,avoid,WARPS win probability 37.6%; Road favorite requires extra caution
2026,1,NO,DET,NO@DET,1:NO@DET,away,Sun,0.336,+198,7.51,10.45,False,28,False,False,1,0,0.6412,6.69,3.5,33.6,23.41,avoid,avoid,WARPS win probability 33.6%; Road favorite requires extra caution
2026,1,BUF,HOU,BUF@HOU,1:BUF@HOU,away,Sun,0.419,+139,10.22,10.8,False,26,False,False,6,1,0.7376,15.43,3.5,41.9,22.97,avoid,avoid,WARPS win probability 41.9%; Road favorite requires extra caution; Save risk: 1 future elite spot(s)
2026,1,WAS,PHI,WAS@PHI,1:WAS@PHI,away,Sun,0.3304,+203,6.71,9.82,True,24,False,False,0,0,0.5456,3.87,6.5,33.04,22.67,avoid,avoid,WARPS win probability 33.0%; Road favorite requires extra caution; Division game raises upset volatility; Low future opportunity cost
2026,1,CLE,JAX,CLE@JAX,1:CLE@JAX,away,Sun,0.3108,+222,6.76,10.47,False,21,False,False,0,0,0.6149,5.47,3.5,31.08,22.11,avoid,avoid,WARPS win probability 31.1%; Road favorite requires extra caution; Low future opportunity cost
2026,1,NE,SEA,NE@SEA,1:NE@SEA,away,Wed,0.3894,+157,10.04,11.44,False,15,False,False,4,2,0.7323,15.97,3.5,38.94,19.47,avoid,avoid,WARPS win probability 38.9%; Road favorite requires extra caution; Save risk: 2 future elite spot(s)
2026,1,SF,LAR,SF@LAR,1:SF@LAR,away,Thu,0.3894,+157,9.64,11.04,True,14,False,False,4,1,0.7109,13.09,6.5,38.94,19.35,avoid,avoid,WARPS win probability 38.9%; Road favorite requires extra caution; Division game raises upset volatility; Save risk: 1 future elite spot(s)
2026,2,LAC,LV,LV@LAC,2:LV@LAC,home,Sun,0.6729,-206,8.45,5.24,True,6,False,False,1,0,0.6831,1.38,3.0,67.29,62.91,strong,secondary,WARPS win probability 67.3%; Home-field survivor spot; Division game raises upset volatility
2026,2,TB,CLE,CLE@TB,2:CLE@TB,home,Sun,0.6248,-167,8.56,6.76,False,32,False,False,0,0,0.6156,0.0,0.0,62.48,62.48,usable,secondary,WARPS win probability 62.5%; Home-field survivor spot; Low future opportunity cost
2026,2,HOU,CIN,CIN@HOU,2:CIN@HOU,home,Sun,0.668,-201,10.8,7.74,False,30,False,False,3,1,0.724,7.11,0.0,66.8,59.69,strong,deep_pool,WARPS win probability 66.8%; Home-field survivor spot; Save risk: 1 future elite spot(s)
2026,2,SF,MIA,MIA@SF,2:MIA@SF,home,Sun,0.662,-196,9.64,6.76,False,2,False,False,3,1,0.7109,6.98,0.0,66.2,59.22,strong,deep_pool,WARPS win probability 66.2%; Home-field survivor spot; Save risk: 1 future elite spot(s)
2026,2,BAL,NO,NO@BAL,2:NO@BAL,home,Sun,0.6325,-172,9.53,7.51,False,31,False,False,3,0,0.6844,4.53,0.0,63.25,58.72,usable,deep_pool,WARPS win probability 63.2%; Home-field survivor spot
2026,2,LAR,NYG,NYG@LAR,2:NYG@LAR,home,Mon,0.6828,-215,11.04,7.53,False,17,False,False,6,1,0.7097,10.18,0.0,68.28,58.1,strong,deep_pool,WARPS win probability 68.3%; Home-field survivor spot; Save risk: 1 future elite spot(s)
2026,2,ATL,CAR,CAR@ATL,2:CAR@ATL,home,Sun,0.5952,-147,7.99,7.02,True,10,False,False,0,0,0.5774,0.0,3.0,59.52,56.52,thin,deep_pool,WARPS win probability 59.5%; Home-field survivor spot; Division game raises upset volatility; Low future opportunity cost
2026,2,DAL,WAS,WAS@DAL,2:WAS@DAL,home,Sun,0.5737,-135,7.09,6.71,True,16,False,False,0,0,0.6006,0.48,3.0,57.37,53.89,thin,deep_pool,WARPS win probability 57.4%; Home-field survivor spot; Division game raises upset volatility; Low future opportunity cost
2026,2,GB,NYJ,GB@NYJ,2:GB@NYJ,away,Sun,0.5869,-142,8.87,4.93,False,12,False,False,3,0,0.6356,4.48,3.5,58.69,50.71,avoid,deep_pool,WARPS win probability 58.7%; Road favorite requires extra caution
2026,2,PHI,TEN,PHI@TEN,2:PHI@TEN,away,Sun,0.5836,-140,9.82,5.97,False,25,False,False,3,0,0.6593,4.96,3.5,58.36,49.9,avoid,deep_pool,WARPS win probability 58.4%; Road favorite requires extra caution
2026,2,NE,PIT,PIT@NE,2:PIT@NE,home,Sun,0.602,-151,10.04,8.88,False,18,False,False,4,2,0.7323,12.15,0.0,60.2,48.05,usable,deep_pool,WARPS win probability 60.2%; Home-field survivor spot; Save risk: 2 future elite spot(s)
2026,2,CHI,MIN,MIN@CHI,2:MIN@CHI,home,Sun,0.5378,-116,8.44,9.03,True,11,False,False,1,0,0.6828,3.81,3.0,53.78,46.97,avoid,avoid,WARPS win probability 53.8%; Home-field survivor spot; Division game raises upset volatility
2026,2,DEN,JAX,JAX@DEN,2:JAX@DEN,home,Sun,0.5244,-110,9.52,10.47,False,21,False,False,2,1,0.7072,8.19,0.0,52.44,44.25,avoid,avoid,WARPS win probability 52.4%; Home-field survivor spot; Save risk: 1 future elite spot(s)
2026,2,KC,IND,IND@KC,2:IND@KC,home,Sun,0.5508,-123,9.32,9.56,False,29,False,False,3,2,0.7106,11.48,0.0,55.08,43.6,thin,avoid,WARPS win probability 55.1%; Home-field survivor spot; Save risk: 2 future elite spot(s)
2026,2,BUF,DET,DET@BUF,2:DET@BUF,home,Thu,0.5512,-123,10.22,10.45,False,28,False,False,6,1,0.7376,13.06,0.0,55.12,42.06,thin,avoid,WARPS win probability 55.1%; Home-field survivor spot; Save risk: 1 future elite spot(s)
2026,2,TEN,PHI,PHI@TEN,2:PHI@TEN,home,Sun,0.4164,+140,5.97,9.82,False,24,False,False,0,0,0.5322,2.08,0.0,41.64,39.56,avoid,avoid,WARPS win probability 41.6%; Home-field survivor spot; Low future opportunity cost
2026,2,NYJ,GB,GB@NYJ,2:GB@NYJ,home,Sun,0.4131,+142,4.93,8.87,False,4,False,False,0,0,0.5482,2.43,0.0,41.31,38.88,avoid,avoid,WARPS win probability 41.3%; Home-field survivor spot; Low future opportunity cost
2026,2,SEA,ARI,SEA@ARI,2:SEA@ARI,away,Sun,0.6163,-161,11.44,6.68,True,3,False,False,8,2,0.7219,16.5,6.5,61.63,38.63,usable,deep_pool,WARPS win probability 61.6%; Road favorite requires extra caution; Division game raises upset volatility; Save risk: 2 future elite spot(s)
2026,2,JAX,DEN,JAX@DEN,2:JAX@DEN,away,Sun,0.4756,+110,10.47,9.52,False,13,False,False,2,1,0.714,9.19,3.5,47.56,34.87,avoid,avoid,WARPS win probability 47.6%; Road favorite requires extra caution; Save risk: 1 future elite spot(s)
2026,2,WAS,DAL,WAS@DAL,2:WAS@DAL,away,Sun,0.4263,+135,6.71,7.09,True,20,False,False,0,0,0.5456,2.15,6.5,42.63,33.98,avoid,avoid,WARPS win probability 42.6%; Road favorite requires extra caution; Division game raises upset volatility; Low future opportunity cost
2026,2,MIN,CHI,MIN@CHI,2:MIN@CHI,away,Sun,0.4622,+116,9.03,8.44,True,1,False,False,3,0,0.6429,6.85,6.5,46.22,32.87,avoid,avoid,WARPS win probability 46.2%; Road favorite requires extra caution; Division game raises upset volatility
2026,2,CAR,ATL,CAR@ATL,2:CAR@ATL,away,Sun,0.4048,+147,7.02,7.99,True,27,False,False,0,0,0.5415,2.46,6.5,40.48,31.52,avoid,avoid,WARPS win probability 40.5%; Road favorite requires extra caution; Division game raises upset volatility; Low future opportunity cost
2026,2,IND,KC,IND@KC,2:IND@KC,away,Sun,0.4492,+123,9.56,9.32,False,5,False,False,5,0,0.6854,10.25,3.5,44.92,31.17,avoid,avoid,WARPS win probability 44.9%; Road favorite requires extra caution
2026,2,ARI,SEA,SEA@ARI,2:SEA@ARI,home,Sun,0.3837,+161,6.68,11.44,True,15,False,False,1,0,0.623,5.51,3.0,38.37,29.86,avoid,avoid,WARPS win probability 38.4%; Home-field survivor spot; Division game raises upset volatility
