game_id,season,game_type,week,gameday,away_team,home_team,away_score,home_score,spread_line,total_line,actual_total,div_game,referee,favorite_side,favorite_ats,favorite_cover_margin,ou_result
2011_14_BUF_SD,2011,REG,14,2011-12-11,BUF,SD,10.0,37.0,7.0,49.5,47.0,0,Gene Steratore,HF,win,20.0,under
2011_14_CHI_DEN,2011,REG,14,2011-12-11,CHI,DEN,10.0,13.0,3.5,35.0,23.0,0,Carl Cheffers,HF,loss,-0.5,under
2011_14_CLE_PIT,2011,REG,14,2011-12-08,CLE,PIT,3.0,14.0,14.0,40.0,17.0,1,Ed Hochuli,HF,loss,-3.0,under
2011_14_HOU_CIN,2011,REG,14,2011-12-11,HOU,CIN,20.0,19.0,2.5,37.5,39.0,0,Ed Hochuli,HF,loss,-3.5,over
2011_14_IND_BAL,2011,REG,14,2011-12-11,IND,BAL,10.0,24.0,16.5,41.5,34.0,0,Clete Blakeman,HF,loss,-2.5,under
2011_14_KC_NYJ,2011,REG,14,2011-12-11,KC,NYJ,10.0,37.0,10.5,35.5,47.0,0,Terry McAulay,HF,win,16.5,over
2011_14_MIN_DET,2011,REG,14,2011-12-11,MIN,DET,28.0,34.0,10.0,48.0,62.0,1,John Parry,HF,loss,-4.0,over
2011_14_NE_WAS,2011,REG,14,2011-12-11,NE,WAS,34.0,27.0,-7.5,46.5,61.0,0,Jeff Triplette,AF,loss,-0.5,over
2011_14_NO_TEN,2011,REG,14,2011-12-11,NO,TEN,22.0,17.0,-3.5,47.5,39.0,0,Mike Carey,AF,win,1.5,under
2011_14_NYG_DAL,2011,REG,14,2011-12-11,NYG,DAL,37.0,34.0,4.5,48.5,71.0,1,Scott Green,HF,loss,-7.5,over
2011_14_OAK_GB,2011,REG,14,2011-12-11,OAK,GB,16.0,46.0,11.5,49.5,62.0,0,Peter Morelli,HF,win,18.5,over
2011_14_PHI_MIA,2011,REG,14,2011-12-11,PHI,MIA,26.0,10.0,3.0,44.5,36.0,0,Ron Winter,HF,loss,-19.0,under
2011_14_SF_ARI,2011,REG,14,2011-12-11,SF,ARI,19.0,21.0,-3.5,39.0,40.0,1,Alberto Riveron,AF,loss,-5.5,over
2011_14_STL_SEA,2011,REG,14,2011-12-12,STL,SEA,13.0,30.0,9.0,38.0,43.0,1,Bill Leavy,HF,win,8.0,over
2011_14_TB_JAX,2011,REG,14,2011-12-11,TB,JAX,14.0,41.0,-3.0,41.5,55.0,0,Jerome Boger,AF,loss,-30.0,over
2011_15_BAL_SD,2011,REG,15,2011-12-18,BAL,SD,14.0,34.0,-1.0,44.5,48.0,0,Carl Cheffers,AF,loss,-21.0,over
2011_15_CAR_HOU,2011,REG,15,2011-12-18,CAR,HOU,28.0,13.0,4.5,45.0,41.0,0,Jeff Triplette,HF,loss,-19.5,under
2011_15_CIN_STL,2011,REG,15,2011-12-18,CIN,STL,20.0,13.0,-7.0,38.5,33.0,0,Jerome Boger,AF,push,0.0,under
2011_15_CLE_ARI,2011,REG,15,2011-12-18,CLE,ARI,17.0,20.0,6.0,37.0,37.0,0,Scott Green,HF,loss,-3.0,push
2011_15_DAL_TB,2011,REG,15,2011-12-17,DAL,TB,31.0,15.0,-7.0,47.0,46.0,0,Terry McAulay,AF,win,9.0,under
2011_15_DET_OAK,2011,REG,15,2011-12-18,DET,OAK,28.0,27.0,-1.0,47.5,55.0,0,Bill Leavy,AF,push,0.0,over
2011_15_GB_KC,2011,REG,15,2011-12-18,GB,KC,14.0,19.0,-11.0,46.0,33.0,0,Gene Steratore,AF,loss,-16.0,under
2011_15_JAX_ATL,2011,REG,15,2011-12-15,JAX,ATL,14.0,41.0,14.0,41.5,55.0,0,Ron Winter,HF,win,13.0,over
2011_15_MIA_BUF,2011,REG,15,2011-12-18,MIA,BUF,30.0,23.0,-1.0,42.5,53.0,1,John Parry,AF,win,6.0,over
2011_15_NE_DEN,2011,REG,15,2011-12-18,NE,DEN,41.0,23.0,-7.0,47.5,64.0,0,Mike Carey,AF,win,11.0,over
2011_15_NO_MIN,2011,REG,15,2011-12-18,NO,MIN,42.0,20.0,-7.0,53.5,62.0,0,Walt Anderson,AF,win,15.0,over
2011_15_NYJ_PHI,2011,REG,15,2011-12-18,NYJ,PHI,19.0,45.0,3.0,44.0,64.0,0,Clete Blakeman,HF,win,23.0,over
2011_15_PIT_SF,2011,REG,15,2011-12-19,PIT,SF,3.0,20.0,3.0,37.0,23.0,0,Walt Coleman,HF,win,14.0,under
2011_15_SEA_CHI,2011,REG,15,2011-12-18,SEA,CHI,38.0,14.0,3.5,34.5,52.0,0,Ed Hochuli,HF,loss,-27.5,over
2011_15_TEN_IND,2011,REG,15,2011-12-18,TEN,IND,13.0,27.0,-6.5,41.5,40.0,1,Peter Morelli,AF,loss,-20.5,under
2011_15_WAS_NYG,2011,REG,15,2011-12-18,WAS,NYG,23.0,10.0,5.5,45.0,33.0,1,Alberto Riveron,HF,loss,-18.5,under
2011_16_ARI_CIN,2011,REG,16,2011-12-24,ARI,CIN,16.0,23.0,3.5,41.0,39.0,0,Terry McAulay,HF,win,3.5,under
2011_16_ATL_NO,2011,REG,16,2011-12-26,ATL,NO,16.0,45.0,7.0,53.0,61.0,1,Jeff Triplette,HF,win,22.0,over
2011_16_CHI_GB,2011,REG,16,2011-12-25,CHI,GB,21.0,35.0,13.0,41.5,56.0,1,John Parry,HF,win,1.0,over
2011_16_CLE_BAL,2011,REG,16,2011-12-24,CLE,BAL,14.0,20.0,10.5,38.0,34.0,1,Walt Coleman,HF,loss,-4.5,under
2011_16_DEN_BUF,2011,REG,16,2011-12-24,DEN,BUF,14.0,40.0,-3.0,43.5,54.0,0,Walt Anderson,AF,loss,-29.0,over
2011_16_HOU_IND,2011,REG,16,2011-12-22,HOU,IND,16.0,19.0,-7.0,40.5,35.0,1,Jerome Boger,AF,loss,-10.0,under
2011_16_JAX_TEN,2011,REG,16,2011-12-24,JAX,TEN,17.0,23.0,8.5,38.5,40.0,1,Gene Steratore,HF,loss,-2.5,over
2011_16_MIA_NE,2011,REG,16,2011-12-24,MIA,NE,24.0,27.0,7.5,49.0,51.0,1,Alberto Riveron,HF,loss,-4.5,over
2011_16_MIN_WAS,2011,REG,16,2011-12-24,MIN,WAS,33.0,26.0,6.0,43.0,59.0,0,Tony Corrente,HF,loss,-13.0,over
2011_16_NYG_NYJ,2011,REG,16,2011-12-24,NYG,NYJ,29.0,14.0,1.5,45.5,43.0,0,Peter Morelli,HF,loss,-16.5,under
2011_16_OAK_KC,2011,REG,16,2011-12-24,OAK,KC,16.0,13.0,3.0,43.0,29.0,1,Mike Carey,HF,loss,-6.0,under
2011_16_PHI_DAL,2011,REG,16,2011-12-24,PHI,DAL,20.0,7.0,-1.5,49.5,27.0,1,Bill Leavy,AF,win,11.5,under
2011_16_SD_DET,2011,REG,16,2011-12-24,SD,DET,10.0,38.0,-1.0,52.5,48.0,0,Ed Hochuli,AF,loss,-29.0,under
2011_16_SF_SEA,2011,REG,16,2011-12-24,SF,SEA,19.0,17.0,-1.5,36.5,36.0,1,Ron Winter,AF,win,0.5,under
2011_16_STL_PIT,2011,REG,16,2011-12-24,STL,PIT,0.0,27.0,10.0,33.5,27.0,0,Clete Blakeman,HF,win,17.0,under
2011_16_TB_CAR,2011,REG,16,2011-12-24,TB,CAR,16.0,48.0,9.0,48.5,64.0,1,Carl Cheffers,HF,win,23.0,over
2011_17_BAL_CIN,2011,REG,17,2012-01-01,BAL,CIN,24.0,16.0,-2.5,37.5,40.0,1,Tony Corrente,AF,win,5.5,over
2011_17_BUF_NE,2011,REG,17,2012-01-01,BUF,NE,21.0,49.0,10.0,49.5,70.0,1,Bill Leavy,HF,win,18.0,over
2011_17_CAR_NO,2011,REG,17,2012-01-01,CAR,NO,17.0,45.0,7.0,54.5,62.0,1,Ed Hochuli,HF,win,21.0,over
2011_17_CHI_MIN,2011,REG,17,2012-01-01,CHI,MIN,17.0,13.0,1.5,41.5,30.0,1,Mike Carey,HF,loss,-5.5,under
2011_17_DAL_NYG,2011,REG,17,2012-01-01,DAL,NYG,14.0,31.0,3.0,48.0,45.0,1,Walt Anderson,HF,win,14.0,under
2011_17_DET_GB,2011,REG,17,2012-01-01,DET,GB,41.0,45.0,-6.5,41.5,86.0,1,Walt Coleman,AF,loss,-10.5,over
2011_17_IND_JAX,2011,REG,17,2012-01-01,IND,JAX,13.0,19.0,3.0,36.5,32.0,1,John Parry,HF,win,3.0,under
2011_17_KC_DEN,2011,REG,17,2012-01-01,KC,DEN,7.0,3.0,1.0,37.0,10.0,1,Peter Morelli,HF,loss,-5.0,under
2011_17_NYJ_MIA,2011,REG,17,2012-01-01,NYJ,MIA,17.0,19.0,1.5,38.0,36.0,1,Jerome Boger,HF,win,0.5,under
2011_17_PIT_CLE,2011,REG,17,2012-01-01,PIT,CLE,13.0,9.0,-7.0,33.0,22.0,1,Alberto Riveron,AF,loss,-3.0,under
2011_17_SD_OAK,2011,REG,17,2012-01-01,SD,OAK,38.0,26.0,2.5,50.5,64.0,1,Clete Blakeman,HF,loss,-14.5,over
2011_17_SEA_ARI,2011,REG,17,2012-01-01,SEA,ARI,20.0,23.0,2.5,40.5,43.0,1,Gene Steratore,HF,win,0.5,over
2011_17_SF_STL,2011,REG,17,2012-01-01,SF,STL,34.0,27.0,-12.5,35.5,61.0,1,Jeff Triplette,AF,loss,-5.5,over
2011_17_TB_ATL,2011,REG,17,2012-01-01,TB,ATL,24.0,45.0,10.0,45.5,69.0,1,Scott Green,HF,win,11.0,over
2011_17_TEN_HOU,2011,REG,17,2012-01-01,TEN,HOU,23.0,22.0,-1.0,38.5,45.0,1,Ron Winter,AF,push,0.0,over
2011_17_WAS_PHI,2011,REG,17,2012-01-01,WAS,PHI,10.0,34.0,7.0,44.0,44.0,1,Carl Cheffers,HF,win,17.0,push
2011_18_ATL_NYG,2011,WC,18,2012-01-08,ATL,NYG,2.0,24.0,3.0,47.5,26.0,0,Carl Cheffers,HF,win,19.0,under
2011_18_CIN_HOU,2011,WC,18,2012-01-07,CIN,HOU,10.0,31.0,4.0,38.0,41.0,0,Clete Blakeman,HF,win,17.0,over
2011_18_DET_NO,2011,WC,18,2012-01-07,DET,NO,28.0,45.0,10.5,59.5,73.0,0,Tony Corrente,HF,win,6.5,over
2011_18_PIT_DEN,2011,WC,18,2012-01-08,PIT,DEN,23.0,29.0,-7.5,34.0,52.0,0,Ron Winter,AF,loss,-13.5,over
2011_19_DEN_NE,2011,DIV,19,2012-01-14,DEN,NE,10.0,45.0,14.0,50.0,55.0,0,Gene Steratore,HF,win,21.0,over
2011_19_HOU_BAL,2011,DIV,19,2012-01-15,HOU,BAL,13.0,20.0,7.5,37.0,33.0,0,Peter Morelli,HF,loss,-0.5,under
2011_19_NO_SF,2011,DIV,19,2012-01-14,NO,SF,32.0,36.0,-3.5,46.5,68.0,0,John Parry,AF,loss,-7.5,over
2011_19_NYG_GB,2011,DIV,19,2012-01-15,NYG,GB,37.0,20.0,8.5,54.0,57.0,0,Bill Leavy,HF,loss,-25.5,over
2011_20_BAL_NE,2011,CON,20,2012-01-22,BAL,NE,20.0,23.0,7.0,49.0,43.0,0,Alberto Riveron,HF,loss,-4.0,under
2011_20_NYG_SF,2011,CON,20,2012-01-22,NYG,SF,20.0,17.0,2.0,40.5,37.0,0,Ed Hochuli,HF,loss,-5.0,under
2011_21_NYG_NE,2011,SB,21,2012-02-05,NYG,NE,21.0,17.0,3.0,53.0,38.0,0,John Parry,HF,loss,-7.0,under
2012_01_ATL_KC,2012,REG,1,2012-09-09,ATL,KC,40.0,24.0,-1.0,43.0,64.0,0,Mike Shepherd,AF,win,15.0,over
