season,season_type,week,matchup_key,away_tla,home_tla,stage,analysis_available,best_edge_market,best_edge_side,best_edge_score,best_edge_status,best_edge_label,engine_recommendation,spread_side,spread_score,spread_threshold,spread_status,spread_cleared_threshold,spread_blocked,spread_blockers,spread_signal_sources,spread_conflict_sources,total_side,total_score,total_threshold,total_status,total_cleared_threshold,total_blocked,total_blockers,total_signal_sources,total_conflict_sources,moneyline_status,moneyline_side,moneyline_line,moneyline_away_odds,moneyline_home_odds,moneyline_away_fair_prob,moneyline_home_fair_prob,moneyline_away_model_prob,moneyline_home_model_prob,moneyline_away_edge,moneyline_home_edge,moneyline_away_ev,moneyline_home_ev,moneyline_selected_ev,moneyline_selected_edge,moneyline_market_hold,division_game,conference_game,away_division,home_division,pythagorean_side,market_expectation_side,value_gap_side,overperformance_side,pythagorean_pick_alignment,market_expectation_pick_alignment,value_gap_pick_alignment,overperformance_pick_alignment,pythagorean_wins_delta,vegas_win_total_delta,pythagorean_vs_vegas_delta,actual_vs_pythagorean_delta,expectation_games_tracked_min,expectation_sample_warning,source_health_status,data_quality_status,away_score,home_score,straight_up_winner_side,final_margin_away_minus_home,final_total,bet_result,bet_margin_to_line,bet_line,result_source
2025,REG,18,NO@ATL,NO,ATL,initial,true,,,,pass,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,true,true,NFC South,NFC South,HOME,HOME,HOME,HOME,no_pick,no_pick,no_pick,no_pick,-2.22,-1.0,-1.22,-0.86,1,true,,,17,19,HOME,-2,36,,,,
2025,REG,18,NYJ@BUF,NYJ,BUF,initial,true,,,,pass,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,true,true,AFC East,AFC East,HOME,HOME,HOME,NEUTRAL,no_pick,no_pick,no_pick,no_pick,-16.0,-6.0,-10.0,-0.06,1,true,,,8,35,HOME,-27,43,,,,
2025,REG,18,SEA@SF,SEA,SF,initial,true,,,,pass,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,true,true,NFC West,NFC West,AWAY,HOME,AWAY,NEUTRAL,no_pick,no_pick,no_pick,no_pick,15.98,-3.0,18.98,0.06,1,true,,,13,3,AWAY,10,16,,,,
2025,REG,18,TEN@JAX,TEN,JAX,initial,true,,,,pass,⚠️ LANDMINE,"⚠️ PASS: Mixed signals, no clear edge identified",,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,true,true,AFC South,AFC South,HOME,HOME,HOME,NEUTRAL,no_pick,no_pick,no_pick,no_pick,-16.5,-2.0,-14.5,-0.02,1,true,,,7,41,HOME,-34,48,,,,
2025,REG,18,WSH@PHI,WAS,PHI,initial,true,,,,pass,❌ FADE,❌ AVOID: Multiple negative factors align,,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,true,true,NFC East,NFC East,AWAY,HOME,AWAY,AWAY,no_pick,no_pick,no_pick,no_pick,6.58,-2.0,8.58,0.62,1,true,,,24,17,AWAY,7,41,,,,
2025,POST,19,BUF@JAX,BUF,JAX,,false,,,,pass,,,,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,false,true,AFC East,AFC South,NEUTRAL,AWAY,HOME,NEUTRAL,no_pick,no_pick,no_pick,no_pick,-0.25,4.0,-4.25,0.02,1,true,,,27,24,AWAY,3,51,,,,
2025,POST,19,GB@CHI,GB,CHI,,false,,,,pass,,,,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,true,true,NFC North,NFC North,HOME,AWAY,HOME,NEUTRAL,no_pick,no_pick,no_pick,no_pick,-6.47,1.0,-7.47,0.38,1,true,,,27,31,HOME,-4,58,,,,
2025,POST,19,HOU@PIT,HOU,PIT,,false,,,,pass,,,,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,false,true,AFC South,AFC North,AWAY,AWAY,AWAY,NEUTRAL,no_pick,no_pick,no_pick,no_pick,1.52,1.0,0.52,-0.09,1,true,,,30,6,AWAY,24,36,,,,
2025,POST,19,LAC@NE,LAC,NE,,false,,,,pass,,,,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,false,true,AFC West,AFC East,HOME,AWAY,HOME,NEUTRAL,no_pick,no_pick,no_pick,no_pick,-16.1,2.0,-18.1,-0.05,1,true,,,3,16,HOME,-13,19,,,,
2025,POST,19,LAR@CAR,LAR,CAR,,false,,,,pass,,,,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,false,true,NFC West,NFC South,AWAY,AWAY,AWAY,AWAY,no_pick,no_pick,no_pick,no_pick,6.62,3.0,3.62,0.61,1,true,,,34,31,AWAY,3,65,,,,
2025,POST,19,SF@PHI,SF,PHI,,false,,,,pass,,,,,,blocked,false,true,candidate unavailable,,,,,,blocked,false,true,candidate unavailable,,,not_priced,,,,,,,,,,,,,,,,false,true,NFC West,NFC East,HOME,HOME,HOME,NEUTRAL,no_pick,no_pick,no_pick,no_pick,-4.7,-1.0,-3.7,0.28,1,true,,,23,19,AWAY,4,42,,,,
