matchup,referee,time,week,away_team,home_team
Raiders at Texans,Alan Eck,8 p.m.,PRE2,Raiders,Texans
49ers at Chargers,Craig Wrolstad,10 p.m.,PRE2,49ers,Chargers
Jets at Steelers,Larry Smith BACKUP REFEREE,7 p.m.,PRE2,Jets,Steelers
Panthers at Jaguars,Alex Moore,7:30 p.m.,PRE2,Panthers,Jaguars
Packers at Broncos,Land Clark,9 p.m.,PRE2,Packers,Broncos
Commanders at Lions,Adrian HillRoy Ellison 2nd HALF,12 p.m.,PRE2,Commanders,Lions
Bills at Browns,Bill Vinovich,1 p.m.,PRE2,Bills,Browns
Falcons at Colts,Bryan Neale BACKUP REFEREE,1 p.m.,PRE2,Falcons,Colts
Ravens at Vikings,Alex KempScott Helverson 2nd HALF,1 p.m.,PRE2,Ravens,Vikings
Saints at Rams,Carl Cheffers,4 p.m.,PRE2,Saints,Rams
Giants at Dolphins,Clay MartinJerod Phillips 2nd HALF,4 p.m.,PRE2,Giants,Dolphins
Bears at Bengals,Ron Torbert,7 p.m.,PRE2,Bears,Bengals
Eagles at Patriots,Scott Novak,7 p.m.,PRE2,Eagles,Patriots
Chiefs at Buccaneers,Brad Allen,7:30 p.m.,PRE2,Chiefs,Buccaneers
Cowboys at Cardinals,John Hussey,10 p.m.,PRE2,Cowboys,Cardinals
Seahawks at Titans,Clete Blakeman,8 p.m.,PRE2,Seahawks,Titans
