matchup,season_type,model_version,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,data_quality_warnings,data_quality_critical_warnings,total_score,confidence,pick_market,pick_side,pick_basis,recommendation_trace_summary,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Buffalo Bills @ Cleveland Browns,PRE,2026.1,⚠️ PASS,📊 LEAN,OK,,,,,6.8,6.8,none,,,spread AWAY 0/4 | total OVER 1/4 | final none ,3.0,9.0,27.9,52.2,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Buffalo Bills (5.0 pts),0,"Extreme public sentiment (84% on one side), High contrarian value (fade the public)",0,"Week PRE2 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Seattle Seahawks @ Tennessee Titans,PRE,2026.1,⚠️ PASS,📊 LEAN,OK,,,,,5.4,5.4,none,,,spread AWAY 0/4 | total UNDER 0/4 | final none ,2.0,-3.0,52.3,51.1,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Seattle Seahawks (5.0 pts),0,High contrarian value (fade the public),0,"Week PRE2 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
New York Jets @ Pittsburgh Steelers,PRE,2026.1,⚠️ PASS,📊 LEAN,OK,,,,,5.1,5.1,none,,,spread HOME 1/4 | total OVER 1/4 | final none ,-8.0,5.0,50.0,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,2,Strong statistical edge to New York Jets (3.4 pts),0,"Market mispricing possible (-8.0% edge), Extreme public sentiment (15% on one side), Potential steam move developing",0,"Week PRE2 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Baltimore Ravens @ Minnesota Vikings,PRE,2026.1,⚠️ PASS,🚨 TRAP GAME,OK,,,,,3.3,3.3,none,,,spread AWAY 2/4 | total UNDER 1/4 | final none ,11.0,-6.0,63.5,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Minnesota Vikings (2.0 pts),0,"Market inefficiency detected (+11.0% sharp edge), STEAM MOVE: Sharps heavily against public, High contrarian value (fade the public)",0,"Week PRE2 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Kansas City Chiefs @ Tampa Bay Buccaneers,PRE,2026.1,⚠️ PASS,🚨 TRAP GAME,OK,,,,,3.2,3.2,none,,,spread HOME 3/4 | total OVER 0/4 | final none ,-20.0,2.0,48.8,57.8,1,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Tampa Bay Buccaneers (2.0 pts),0,"Market inefficiency detected (-20.0% sharp edge), High contrarian value (fade the public)",0,"Week PRE2 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
New York Giants @ Miami Dolphins,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,3.1,3.1,none,,,spread NA NA/NA | total NA NA/NA | final none ,10.0,-1.0,40.5,39.5,1,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Miami Dolphins (2.0 pts),0,Market inefficiency detected (+10.0% sharp edge),0,"Week PRE2 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
San Francisco 49ers @ Los Angeles Chargers,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,3.0,3.0,none,,,spread NA NA/NA | total NA NA/NA | final none ,-12.0,-1.0,42.6,40.7,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,0,No significant statistical edge,0,"Market inefficiency detected (-12.0% sharp edge), Potential steam move developing",0,"Week PRE2 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Washington Commanders @ Detroit Lions,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,2.7,2.7,none,,,spread NA NA/NA | total NA NA/NA | final none ,20.0,6.0,45.1,47.1,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Detroit Lions (2.0 pts),0,Market inefficiency detected (+20.0% sharp edge),0,"Week PRE2 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Atlanta Falcons @ Indianapolis Colts,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,2.7,2.7,none,,,spread NA NA/NA | total NA NA/NA | final none ,-28.0,3.0,50.0,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Indianapolis Colts (2.0 pts),0,"Market inefficiency detected (-28.0% sharp edge), Potential steam move developing",0,"Week PRE2 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Las Vegas Raiders @ Houston Texans,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,2.6,2.6,none,,,spread NA NA/NA | total NA NA/NA | final none ,24.0,12.0,65.4,34.6,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-3,Strong statistical edge to Houston Texans (5.0 pts),0,Market inefficiency detected (+24.0% sharp edge),0,"Week PRE2 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Green Bay Packers @ Denver Broncos,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,2.4,2.4,none,,,spread NA NA/NA | total NA NA/NA | final none ,-26.0,-3.0,37.5,38.5,1,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-3,Strong statistical edge to Denver Broncos (5.0 pts),0,"Market inefficiency detected (-26.0% sharp edge), Potential steam move developing",0,"Week PRE2 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Dallas Cowboys @ Arizona Cardinals,PRE,2026.1,⚠️ PASS,🚨 TRAP GAME,OK,,,,,1.2,1.2,none,,,spread AWAY 2/4 | total OVER 1/4 | final none ,10.0,6.0,52.1,54.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Arizona Cardinals (2.0 pts),0,"Market inefficiency detected (+10.0% sharp edge), STEAM MOVE: Sharps heavily against public, High contrarian value (fade the public)",0,"Week PRE2 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Chicago Bears @ Cincinnati Bengals,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,0.5,0.5,none,,,spread NA NA/NA | total NA NA/NA | final none ,16.0,7.0,50.0,38.2,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-3,Strong statistical edge to Cincinnati Bengals (5.0 pts),0,Market inefficiency detected (+16.0% sharp edge),0,"Week PRE2 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Philadelphia Eagles @ New England Patriots,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,OK,,,,,0.5,0.5,none,,,spread NA NA/NA | total NA NA/NA | final none ,-17.0,16.0,38.6,52.3,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-3,Strong statistical edge to New England Patriots (5.0 pts),0,"Market inefficiency detected (-17.0% sharp edge), STEAM MOVE: Sharps heavily against public",0,"Week PRE2 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
New Orleans Saints @ Los Angeles Rams,PRE,2026.1,❌ FADE,❌ FADE,OK,,,,,-4.9,4.9,none,,,spread NA NA/NA | total NA NA/NA | final none ,-2.0,-10.0,53.2,48.9,1,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-3,Strong statistical edge to Los Angeles Rams (5.0 pts),0,Extreme public sentiment (19% on one side),0,"Week PRE2 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Carolina Panthers @ Jacksonville Jaguars,PRE,2026.1,❌ FADE,❌ FADE,OK,,,,,-2.8,2.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,-4.0,7.0,66.7,55.6,1,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-3,Strong statistical edge to Jacksonville Jaguars (5.0 pts),0,Standard market dynamics,0,"Week PRE2 not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
