matchup,referee,away,home,spread,favorite,game_type,query
Bills at Broncos,Carl Cheffers,BUF,DEN,1.5,HF,C,'Carl Cheffers' in officials and HF and C and playoffs=1 and season>=2018
49ers at Seahawks,John Hussey,SF,SEA,7.0,HF,C,'John Hussey' in officials and HF and C and playoffs=1 and season>=2018
Texans at Patriots,Shawn Smith,HOU,NE,3.0,HF,C,'Shawn Smith' in officials and HF and C and playoffs=1 and season>=2018
Rams at Bears,Shawn Hochuli,LAR,CHI,-3.5,AF,NDIV,'Shawn Hochuli' in officials and NDIV and playoffs=1 and season>=2018
