matchup,classification,total_score,confidence,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Los Angeles Rams @ Chicago Bears,📊 LEAN,6.8,6.8,0.0,-6.0,50.0,75.0,2,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,3,Strong statistical edge to Los Angeles Rams (5.0 pts),0,Standard market dynamics,0,"Week DIV not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Houston Texans @ New England Patriots,❌ FADE,-7.6,7.6,-1.0,-6.0,20.0,60.0,1,-1.4,NO EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,-3,Strong statistical edge to New England Patriots (5.0 pts),0,Standard market dynamics,0,"Week DIV not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Buffalo Bills @ Denver Broncos,❌ FADE,-3.3,3.3,-6.0,-10.0,33.3,16.7,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,0,No significant statistical edge,2,"Market mispricing possible (-6.0% edge), High contrarian value (fade the public)",0,"Week DIV not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
San Francisco 49ers @ Seattle Seahawks,❌ FADE,-3.3,3.3,-4.0,-14.0,71.4,50.0,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,-3,Strong statistical edge to Seattle Seahawks (5.0 pts),1,High contrarian value (fade the public),0,"Week DIV not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
