matchup,classification,total_score,confidence,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Green Bay Packers @ Chicago Bears,📊 LEAN,6.5,6.5,-1.0,-2.0,66.7,46.7,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,3,Strong statistical edge to Green Bay Packers (4.6 pts),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Houston Texans @ Pittsburgh Steelers,📊 LEAN,5.5,5.5,1.0,-3.0,61.1,55.6,0,-0.8,NO EDGE,0,Found 1 high-impact injuries,-1,Late season - motivation concerns,3,Strong statistical edge to Houston Texans (5.0 pts),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
San Francisco 49ers @ Philadelphia Eagles,📊 LEAN,5.0,5.0,2.0,-2.0,56.1,46.6,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,2,Strong statistical edge to San Francisco 49ers (2.7 pts),1,High contrarian value (fade the public),0,Neutral schedule situation (standard rest)
Los Angeles Rams @ Carolina Panthers,⚠️ LANDMINE,3.4,3.4,-4.0,-9.0,51.2,48.9,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-2,"Double-digit spread (10.0) - blowout risk, Late season - motivation concerns",3,Strong statistical edge to Los Angeles Rams (5.0 pts),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Buffalo Bills @ Jacksonville Jaguars,⚠️ LANDMINE,0.8,0.8,0.0,-10.0,52.2,55.3,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,1,Statistical edge to Buffalo Bills (1.7 pts),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Los Angeles Chargers @ New England Patriots,❌ FADE,-5.3,5.3,8.0,-2.0,48.5,36.4,0,0.0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,-3,Strong statistical edge to New England Patriots (5.0 pts),1,Market mispricing possible (+8.0% edge),0,Neutral schedule situation (standard rest)
