matchup,referee,away,home,spread,favorite,game_type,query
Rams at Panthers,Clete Blakeman,LAR,CAR,-10.0,AF,NDIV,'Clete Blakeman' in officials and AF and NDIV and REG and season>=2018
Packers at Bears,Adrian Hill,GB,CHI,-1.0,AF,DIV,'Adrian Hill' in officials and AF and DIV and REG and season>=2018
Bills at Jaguars,Brad Allen,BUF,JAX,-1.5,AF,NDIV,'Brad Allen' in officials and AF and NDIV and REG and season>=2018
49ers at Eagles,Alan Eck,SF,PHI,3.5,HF,NDIV,'Alan Eck' in officials and HF and NDIV and REG and season>=2018
Chargers at Patriots,Ron Torbert,LAC,NE,2.5,HF,NDIV,'Ron Torbert' in officials and HF and NDIV and REG and season>=2018
Texans at Steelers,Craig Wrolstad,HOU,PIT,-3.0,AF,NDIV,'Craig Wrolstad' in officials and AF and NDIV and REG and season>=2018
