matchup,classification,total_score,confidence,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Green Bay Packers @ Chicago Bears,🎯 TARGETED PLAY,7.8,7.8,7.0,-3.0,50.0,66.7,1,0,NO EDGE,0,Found 0 high-impact injuries,-2,"Large spread (109.0) - potential cupcake game, Late season - motivation concerns",3,Strong statistical edge to Green Bay Packers (4.6 pts),1,Market mispricing possible (+7.0% edge),0,Neutral schedule situation (standard rest)
Los Angeles Rams @ Carolina Panthers,⚠️ LANDMINE,4.3,4.3,-5.0,-26.0,50.0,71.4,0,0,NO EDGE,0,Found 0 high-impact injuries,-2,"Double-digit spread (10.5) - blowout risk, Late season - motivation concerns",3,Strong statistical edge to Los Angeles Rams (5.0 pts),1,Market mispricing possible (-5.0% edge),0,Neutral schedule situation (standard rest)
San Francisco 49ers @ Philadelphia Eagles,⚠️ LANDMINE,3.6,3.6,2.0,-5.0,50.0,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,2,Strong statistical edge to San Francisco 49ers (2.7 pts),1,High contrarian value (fade the public),0,Neutral schedule situation (standard rest)
Houston Texans @ Pittsburgh Steelers,⚠️ LANDMINE,2.5,2.5,-11.0,-8.0,50.0,0.0,1,0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,3,Strong statistical edge to Houston Texans (5.0 pts),2,Market inefficiency detected (-11.0% sharp edge),0,Neutral schedule situation (standard rest)
Buffalo Bills @ Jacksonville Jaguars,⚠️ LANDMINE,0.8,0.8,4.0,-6.0,50.0,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,1,Statistical edge to Buffalo Bills (1.7 pts),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
Los Angeles Chargers @ New England Patriots,❌ FADE,-6.4,6.4,0.0,-9.0,50.0,57.1,0,0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,-3,Strong statistical edge to New England Patriots (5.0 pts),0,Standard market dynamics,0,Neutral schedule situation (standard rest)
