matchup,referee,time,week,away_team,home_team
Patriots at Seahawks,Adrian Hill,8:20 p.m.,1,Patriots,Seahawks
49ers at Rams,Alex Kemp,8:35 p.m.,1,49ers,Rams
Bears at Panthers,Brad Allen,1 p.m.,1,Bears,Panthers
Buccaneers at Bengals,John Hussey,1 p.m.,1,Buccaneers,Bengals
Saints at Lions,Alan Eck,1 p.m.,1,Saints,Lions
Bills at Texans,Alex Moore,1 p.m.,1,Bills,Texans
Ravens at Colts,Scott Novak,1 p.m.,1,Ravens,Colts
Browns at Jaguars,Craig Wrolstad,1 p.m.,1,Browns,Jaguars
Falcons at Steelers,Brad Rogers,1 p.m.,1,Falcons,Steelers
Jets at Titans,Land Clark,1 p.m.,1,Jets,Titans
Cardinals at Chargers,Ron Torbert,4:25 p.m.,1,Cardinals,Chargers
Dolphins at Raiders,Clete Blakeman,4:25 p.m.,1,Dolphins,Raiders
Packers at Vikings,Shawn Hochuli,4:25 p.m.,1,Packers,Vikings
Commanders at Eagles,Shawn Smith,4:25 p.m.,1,Commanders,Eagles
Cowboys at Giants,Carl Cheffers,8:20 p.m.,1,Cowboys,Giants
Broncos at Chiefs,Clay Martin,8:15 p.m.,1,Broncos,Chiefs
