matchup,referee,time,week,away_team,home_team
Patriots at Broncos,Alex Kemp,Sunday 3 p.m.,CONF,Patriots,Broncos
Rams at Seahawks,Clay Martin,Sunday 6:40 p.m.,CONF,Rams,Seahawks
