matchup,referee,away,home,spread,favorite,game_type,query
Patriots at Broncos,Alex Kemp,NE,DEN,-4.5,AF,AFC,'Alex Kemp' in officials and playoffs=1 and season>=2018
Rams at Seahawks,Clay Martin,LAR,SEA,2.5,HF,NFC,'Clay Martin' in officials and HF and playoffs=1 and season>=2018
