matchup,classification,total_score,confidence,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
New England Patriots @ Denver Broncos,⚠️ LANDMINE,3.6,3.6,-11.0,-4.0,50.0,50.0,2,0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,2,Strong statistical edge to New England Patriots (2.8 pts),3,"Market inefficiency detected (-11.0% sharp edge), High contrarian value (fade the public)",0,"Week CONF not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
Los Angeles Rams @ Seattle Seahawks,❌ FADE,-6.4,6.4,4.0,-6.0,50.0,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,-1,Late season - motivation concerns,-3,Strong statistical edge to Seattle Seahawks (5.0 pts),0,Standard market dynamics,0,"Week CONF not found. Available: ['W1', 'W2', 'W3', 'W4', 'W5']..."
