matchup,season_type,model_version,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,data_quality_warnings,data_quality_critical_warnings,total_score,confidence,pick_market,pick_side,pick_basis,recommendation_trace_summary,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Buffalo Bills @ Miami Dolphins,REG,2026.1,⚠️ PASS,🎯 TARGETED PLAY,DEGRADED,,rotowire,rotowire: missing file path,,12.6,12.6,none,,,spread HOME 0/4 | total UNDER 2/4 | final none ,0,0,50.0,38.2,0,3.5,EDGE,0,Found 2 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Buffalo Bills (5.0 pts),0,Extreme public sentiment (0% on one side),2,HOME rest advantage (+3 days)
New England Patriots @ Tampa Bay Buccaneers,REG,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,9.1,9.1,none,,,spread NEUTRAL 0/4 | total NEUTRAL 0/4 | final none ,0,0,63.5,50.0,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to New England Patriots (5.0 pts),0,Extreme public sentiment (0% on one side),2,HOME rest advantage (+7 days)
Detroit Lions @ Washington Commanders,REG,2026.1,⚠️ PASS,🎯 TARGETED PLAY,DEGRADED,,rotowire,rotowire: missing file path,,7.4,7.4,none,,,spread HOME 0/4 | total NEUTRAL 0/4 | final none ,0,0,38.6,52.3,0,6.5,EDGE,0,Found 2 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Washington Commanders (2.0 pts),0,Extreme public sentiment (0% on one side),0,Neutral schedule situation (standard rest)
Arizona Cardinals @ Seattle Seahawks,REG,2026.1,⚠️ PASS,🎯 TARGETED PLAY,DEGRADED,,rotowire,rotowire: missing file path,,7.3,7.3,none,,,spread AWAY 0/4 | total UNDER 2/4 | final none ,0,0,65.4,34.6,0,-7.0,EDGE,0,Found 2 high-impact injuries,0,No significant situational factors,-3,Strong statistical edge to Seattle Seahawks (5.0 pts),0,Extreme public sentiment (0% on one side),1,Minor rest edge (1 days)
New Orleans Saints @ Carolina Panthers,REG,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,5.4,5.4,none,,,spread AWAY 0/5 | total NEUTRAL 0/4 | final none ,0,0,48.8,57.8,0,-1.5,NO EDGE,0,Found 1 high-impact injuries,0,No significant situational factors,2,Strong statistical edge to New Orleans Saints (2.7 pts),0,Extreme public sentiment (0% on one side),0,Neutral schedule situation (standard rest)
Los Angeles Rams @ San Francisco 49ers,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,4.6,4.6,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,37.5,38.5,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,1,Statistical edge to Los Angeles Rams (2.4 pts),0,Extreme public sentiment (0% on one side),0,Neutral schedule situation (standard rest)
Jacksonville Jaguars @ Houston Texans,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,4.5,4.5,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,66.7,55.6,0,2.0,EDGE,0,Found 1 high-impact injuries,0,No significant situational factors,0,No significant statistical edge,0,Extreme public sentiment (0% on one side),0,Neutral schedule situation (standard rest)
Cleveland Browns @ New York Jets,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,2.4,2.4,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,50.0,50.0,0,3.5,EDGE,0,Found 2 high-impact injuries,0,No significant situational factors,-1,Statistical edge to New York Jets (2.0 pts),0,Extreme public sentiment (0% on one side),0,Neutral schedule situation (standard rest)
Atlanta Falcons @ Indianapolis Colts,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,-1.8,1.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,52.3,51.1,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Indianapolis Colts (2.0 pts),0,Extreme public sentiment (0% on one side),0,Neutral schedule situation (standard rest)
New York Giants @ Chicago Bears,REG,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,1.8,1.8,none,,,spread NA NA/NA | total NA NA/NA | final none ,0,0,45.1,47.1,0,0.0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,1,Statistical edge to New York Giants (1.1 pts),0,Extreme public sentiment (0% on one side),0,Neutral schedule situation (standard rest)
