matchup,referee,away,home,spread,favorite,game_type,query
Rams at Seahawks,Brad Allen,LAR,SEA,-1.5,AF,DIV,'Brad Allen' in officials and AF and DIV and REG and season>=2018
Eagles at Commanders,Craig Wrolstad,PHI,WAS,-6.5,AF,DIV,'Craig Wrolstad' in officials and AF and DIV and REG and season>=2018
Packers at Bears,Alex Kemp,GB,CHI,-1.5,AF,DIV,'Alex Kemp' in officials and AF and DIV and REG and season>=2018
Buccaneers at Panthers,Shawn Smith,TB,CAR,-3.0,AF,DIV,'Shawn Smith' in officials and AF and DIV and REG and season>=2018
Bills at Browns,Bill Vinovich,BUF,CLE,-10.0,AF,C,'Bill Vinovich' in officials and AF and C and REG and season>=2018
Chargers at Cowboys,Alan Eck,LAC,DAL,-1.5,HF,NDIV,'Alan Eck' in officials and HF and NDIV and REG and season>=2018
Bengals at Dolphins,John Hussey,CIN,MIA,-2.5,AF,C,'John Hussey' in officials and AF and C and REG and season>=2018
Jets at Saints,Clay Martin,NYJ,NO,-4.5,HF,NDIV,'Clay Martin' in officials and HF and NDIV and REG and season>=2018
Vikings at Giants,Alex Moore,MIN,NYG,-3.0,AF,C,'Alex Moore' in officials and AF and C and REG and season>=2018
Chiefs at Titans,Clete Blakeman,KC,TEN,-3.5,AF,C,'Clete Blakeman' in officials and AF and C and REG and season>=2018
Falcons at Cardinals,Land Clark,ATL,ARI,-2.5,AF,C,'Land Clark' in officials and AF and C and REG and season>=2018
Jaguars at Broncos,Shawn Hochuli,JAX,DEN,-3.0,HF,C,'Shawn Hochuli' in officials and HF and C and REG and season>=2018
Steelers at Lions,Carl Cheffers,PIT,DET,-7.0,HF,NDIV,'Carl Cheffers' in officials and HF and NDIV and REG and season>=2018
Raiders at Texans,Scott Novak,LV,HOU,-14.5,HF,C,'Scott Novak' in officials and HF and C and REG and season>=2018
Patriots at Ravens,Brad Rogers,NE,BAL,-3.0,HF,C,'Brad Rogers' in officials and HF and C and REG and season>=2018
49ers at Colts,Ron Torbert,SF,IND,-6.0,AF,NDIV,'Ron Torbert' in officials and AF and NDIV and REG and season>=2018
