matchup,referee,time,week,away_team,home_team
Rams at Seahawks,Brad Allen,8:15 p.m.,16,Rams,Seahawks
Eagles at Commanders,Craig Wrolstad,5 p.m.,16,Eagles,Commanders
Packers at Bears,Alex Kemp,8:20 p.m.,16,Packers,Bears
Buccaneers at Panthers,Shawn Smith,1 p.m.,16,Buccaneers,Panthers
Bills at Browns,Bill Vinovich,1 p.m.,16,Bills,Browns
Chargers at Cowboys,Alan Eck,1 p.m.,16,Chargers,Cowboys
Bengals at Dolphins,John Hussey,1 p.m.,16,Bengals,Dolphins
Jets at Saints,Clay Martin,1 p.m.,16,Jets,Saints
Vikings at Giants,Alex Moore,1 p.m.,16,Vikings,Giants
Chiefs at Titans,Clete Blakeman,1 p.m.,16,Chiefs,Titans
Falcons at Cardinals,Land Clark,4:05 p.m.,16,Falcons,Cardinals
Jaguars at Broncos,Shawn Hochuli,4:05 p.m.,16,Jaguars,Broncos
Steelers at Lions,Carl Cheffers,4:25 p.m.,16,Steelers,Lions
Raiders at Texans,Scott Novak,4:25 p.m.,16,Raiders,Texans
Patriots at Ravens,Brad Rogers,8:20 p.m.,16,Patriots,Ravens
49ers at Colts,Ron Torbert,8:15 p.m.,16,49ers,Colts
