matchup,referee,away,home,spread,favorite,game_type,query
Jets at Patriots,Alan Eck,NYJ,NE,0,HF,DIV,'Alan Eck' in officials and HF and DIV and REG and season>=2018
Commanders vs. Dolphins,Shawn Smith,WAS,MIA,0,HF,NDIV,'Shawn Smith' in officials and HF and NDIV and REG and season>=2018
Panthers at Falcons,Clay Martin,CAR,ATL,0,HF,DIV,'Clay Martin' in officials and HF and DIV and REG and season>=2018
Buccaneers at Bills,Alex Moore,TB,BUF,0,HF,NDIV,'Alex Moore' in officials and HF and NDIV and REG and season>=2018
Chargers at Jaguars,Craig Wrolstad,LAC,JAX,0,HF,C,'Craig Wrolstad' in officials and HF and C and REG and season>=2018
Bears at Vikings,Brad Rogers,CHI,MIN,0,HF,DIV,'Brad Rogers' in officials and HF and DIV and REG and season>=2018
Packers at Giants,Scott Novak,GB,NYG,0,HF,C,'Scott Novak' in officials and HF and C and REG and season>=2018
Texans at Titans,Shawn Hochuli,HOU,TEN,0,HF,DIV,'Shawn Hochuli' in officials and HF and DIV and REG and season>=2018
Bengals at Steelers,Bill Vinovich,CIN,PIT,0,HF,DIV,'Bill Vinovich' in officials and HF and DIV and REG and season>=2018
49ers at Cardinals,Carl Cheffers,SF,ARI,0,HF,DIV,'Carl Cheffers' in officials and HF and DIV and REG and season>=2018
Seahawks at Rams,John Hussey,SEA,LAR,0,HF,DIV,'John Hussey' in officials and HF and DIV and REG and season>=2018
Ravens at Browns,Land Clark,BAL,CLE,0,HF,DIV,'Land Clark' in officials and HF and DIV and REG and season>=2018
Chiefs at Broncos,Adrian Hill,KC,DEN,0,HF,DIV,'Adrian Hill' in officials and HF and DIV and REG and season>=2018
Lions at Eagles,Alex Kemp,DET,PHI,0,HF,C,'Alex Kemp' in officials and HF and C and REG and season>=2018
Cowboys at Raiders,Brad Allen,DAL,LV,0,HF,NDIV,'Brad Allen' in officials and HF and NDIV and REG and season>=2018
