matchup,referee,away,home,spread,favorite,game_type,query
Falcons at Buccaneers,Carl Cheffers,ATL,TB,-4.5,HF,DIV,'Carl Cheffers' in officials and HF and DIV and REG and season>=2018
Browns at Bears,Ron Torbert,CLE,CHI,-7.5,HF,NDIV,'Ron Torbert' in officials and HF and NDIV and REG and season>=2018
Ravens at Bengals,Brad Allen,BAL,CIN,-2.5,AF,DIV,'Brad Allen' in officials and AF and DIV and REG and season>=2018
Cardinals at Texans,Clete Blakeman,ARI,HOU,-9.5,HF,NDIV,'Clete Blakeman' in officials and HF and NDIV and REG and season>=2018
Jets at Jaguars,Shawn Smith,NYJ,JAX,-12.5,HF,C,'Shawn Smith' in officials and HF and C and REG and season>=2018
Chargers at Chiefs,Shawn Hochuli,LAC,KC,-4.5,HF,DIV,'Shawn Hochuli' in officials and HF and DIV and REG and season>=2018
Bills at Patriots,John Hussey,BUF,NE,-1.5,AF,DIV,'John Hussey' in officials and AF and DIV and REG and season>=2018
Commanders at Giants,Bill Vinovich,WAS,NYG,-2.5,HF,DIV,'Bill Vinovich' in officials and HF and DIV and REG and season>=2018
Raiders at Eagles,Clay Martin,LV,PHI,-11.5,HF,NDIV,'Clay Martin' in officials and HF and NDIV and REG and season>=2018
Packers at Broncos,Brad Rogers,GB,DEN,-2.5,AF,NDIV,'Brad Rogers' in officials and AF and NDIV and REG and season>=2018
Lions at Rams,Alan Eck,DET,LAR,-5.5,HF,C,'Alan Eck' in officials and HF and C and REG and season>=2018
Panthers at Saints,Alex Moore,CAR,NO,-2.5,AF,DIV,'Alex Moore' in officials and AF and DIV and REG and season>=2018
Colts at Seahawks,Adrian Hill,IND,SEA,-13.5,HF,NDIV,'Adrian Hill' in officials and HF and NDIV and REG and season>=2018
Titans at 49ers,Craig Wrolstad,TEN,SF,-12.5,HF,NDIV,'Craig Wrolstad' in officials and HF and NDIV and REG and season>=2018
Vikings at Cowboys,Scott Novak,MIN,DAL,-5.5,HF,C,'Scott Novak' in officials and HF and C and REG and season>=2018
Dolphins at Steelers,Land Clark,MIA,PIT,-3.0,HF,C,'Land Clark' in officials and HF and C and REG and season>=2018
