matchup,referee,time,week,away_team,home_team
Falcons at Buccaneers,Carl Cheffers,8:15 p.m.,15,Falcons,Buccaneers
Browns at Bears,Ron Torbert,1 p.m.,15,Browns,Bears
Ravens at Bengals,Brad Allen,1 p.m.,15,Ravens,Bengals
Cardinals at Texans,Clete Blakeman,1 p.m.,15,Cardinals,Texans
Jets at Jaguars,Shawn Smith,1 p.m.,15,Jets,Jaguars
Chargers at Chiefs,Shawn Hochuli,1 p.m.,15,Chargers,Chiefs
Bills at Patriots,John Hussey,1 p.m.,15,Bills,Patriots
Commanders at Giants,Bill Vinovich,1 p.m.,15,Commanders,Giants
Raiders at Eagles,Clay Martin,1 p.m.,15,Raiders,Eagles
Packers at Broncos,Brad Rogers,4:25 p.m.,15,Packers,Broncos
Lions at Rams,Alan Eck,4:25 p.m.,15,Lions,Rams
Panthers at Saints,Alex Moore,4:25 p.m.,15,Panthers,Saints
Colts at Seahawks,Adrian Hill,4:25 p.m.,15,Colts,Seahawks
Titans at 49ers,Craig Wrolstad,4:25 p.m.,15,Titans,49ers
Vikings at Cowboys,Scott Novak,8:20 p.m.,15,Vikings,Cowboys
Dolphins at Steelers,Land Clark,8:15 p.m.,15,Dolphins,Steelers
