aligned_sources,fold,injury_policy,line,margin_to_line,market,matchup,result,score,side,spread_threshold,threshold,total_policy,total_threshold,week
ref_weather_context+sharp,1,allow,41.5,11.5,total,Houston Texans @ Kansas City Chiefs,win,7.0,UNDER,4,3,require_ref_weather,3,14
ref_weather_context+sharp,1,allow,44.5,-4.5,total,Chicago Bears @ Green Bay Packers,loss,3.0,UNDER,4,3,require_ref_weather,3,14
ref_weather_context+sharp,2,allow,41.5,-1.5,total,Miami Dolphins @ Pittsburgh Steelers,loss,7.0,UNDER,4,4,allow,4,15
sharp+team_rating,2,allow,-13.0,15.0,spread,New York Jets @ Jacksonville Jaguars,win,5.0,HOME,4,4,allow,4,15
ref_weather_context+sharp,2,allow,49.5,16.5,total,Buffalo Bills @ New England Patriots,win,4.0,OVER,4,4,allow,4,15
ref_weather_context,2,allow,41.5,12.5,total,Los Angeles Chargers @ Kansas City Chiefs,win,4.0,UNDER,4,4,allow,4,15
ref_weather_context+sharp,2,allow,39.0,8.0,total,Las Vegas Raiders @ Philadelphia Eagles,win,4.0,UNDER,4,4,allow,4,15
injury+sharp+team_rating,3,allow,4.5,-19.5,spread,Cincinnati Bengals @ Miami Dolphins,loss,4.0,HOME,4,4,allow,4,16
sharp+team_rating,5,raise_spread_threshold,3.5,20.5,spread,Dallas Cowboys @ New York Giants,win,5.0,HOME,4,4,allow,4,18
