avg_margin_to_line,graded,injury_policy,losses,plays,pushes,spread_losses,spread_plays,spread_threshold,spread_win_rate,spread_wins,total_losses,total_plays,total_policy,total_threshold,total_win_rate,total_wins,win_rate,wins
4.188,16,allow,4,16,0,1,7,4,0.8571,6,3,9,require_ref_weather,3,0.6667,6,0.75,12
4.031,16,raise_spread_threshold,4,16,0,3,14,3,0.7857,11,1,2,allow,5,0.5,1,0.75,12
4.031,16,raise_spread_threshold,4,16,0,3,14,3,0.7857,11,1,2,require_ref_weather,5,0.5,1,0.75,12
4.031,16,raise_spread_threshold,4,16,0,3,14,3,0.7857,11,1,2,require_sharp_and_ref_weather,5,0.5,1,0.75,12
4.031,16,raise_spread_threshold,4,16,0,3,14,3,0.7857,11,1,2,allow,6,0.5,1,0.75,12
4.031,16,raise_spread_threshold,4,16,0,3,14,3,0.7857,11,1,2,require_ref_weather,6,0.5,1,0.75,12
4.031,16,raise_spread_threshold,4,16,0,3,14,3,0.7857,11,1,2,require_sharp_and_ref_weather,6,0.5,1,0.75,12
5.958,12,raise_spread_threshold,3,12,0,0,3,4,1.0,3,3,9,require_ref_weather,3,0.6667,6,0.75,9
3.312,8,block_spread_if_injury_conflict,2,8,0,1,6,4,0.8333,5,1,2,allow,5,0.5,1,0.75,6
3.312,8,block_spread_if_injury_conflict,2,8,0,1,6,4,0.8333,5,1,2,require_ref_weather,5,0.5,1,0.75,6
3.312,8,block_spread_if_injury_conflict,2,8,0,1,6,4,0.8333,5,1,2,require_sharp_and_ref_weather,5,0.5,1,0.75,6
3.312,8,block_spread_if_injury_conflict,2,8,0,1,6,4,0.8333,5,1,2,allow,6,0.5,1,0.75,6
3.312,8,block_spread_if_injury_conflict,2,8,0,1,6,4,0.8333,5,1,2,require_ref_weather,6,0.5,1,0.75,6
3.312,8,block_spread_if_injury_conflict,2,8,0,1,6,4,0.8333,5,1,2,require_sharp_and_ref_weather,6,0.5,1,0.75,6
11.375,4,allow,1,4,0,0,2,5,1.0,2,1,2,allow,5,0.5,1,0.75,3
11.375,4,allow,1,4,0,0,2,5,1.0,2,1,2,require_ref_weather,5,0.5,1,0.75,3
11.375,4,allow,1,4,0,0,2,5,1.0,2,1,2,require_sharp_and_ref_weather,5,0.5,1,0.75,3
11.375,4,allow,1,4,0,0,2,5,1.0,2,1,2,allow,6,0.5,1,0.75,3
11.375,4,allow,1,4,0,0,2,5,1.0,2,1,2,require_ref_weather,6,0.5,1,0.75,3
11.375,4,allow,1,4,0,0,2,5,1.0,2,1,2,require_sharp_and_ref_weather,6,0.5,1,0.75,3
7.75,4,block_spread_if_injury_context,1,4,0,0,2,4,1.0,2,1,2,allow,5,0.5,1,0.75,3
7.75,4,block_spread_if_injury_context,1,4,0,0,2,4,1.0,2,1,2,require_ref_weather,5,0.5,1,0.75,3
7.75,4,block_spread_if_injury_context,1,4,0,0,2,4,1.0,2,1,2,require_sharp_and_ref_weather,5,0.5,1,0.75,3
7.75,4,block_spread_if_injury_context,1,4,0,0,2,4,1.0,2,1,2,allow,6,0.5,1,0.75,3
7.75,4,block_spread_if_injury_context,1,4,0,0,2,4,1.0,2,1,2,require_ref_weather,6,0.5,1,0.75,3
7.75,4,block_spread_if_injury_context,1,4,0,0,2,4,1.0,2,1,2,require_sharp_and_ref_weather,6,0.5,1,0.75,3
3.913,23,raise_spread_threshold,6,23,0,3,14,3,0.7857,11,3,9,require_ref_weather,3,0.6667,6,0.7391,17
3.478,23,allow,6,23,0,5,18,3,0.7222,13,1,5,require_sharp_and_ref_weather,4,0.8,4,0.7391,17
3.633,15,allow,4,15,0,1,7,4,0.8571,6,3,8,require_sharp_and_ref_weather,3,0.625,5,0.7333,11
3.467,15,block_spread_if_injury_conflict,4,15,0,1,6,4,0.8333,5,3,9,require_ref_weather,3,0.6667,6,0.7333,11
3.523,22,raise_spread_threshold,6,22,0,3,14,3,0.7857,11,3,8,require_sharp_and_ref_weather,3,0.625,5,0.7273,16
3.205,22,block_spread_if_injury_conflict,6,22,0,5,16,3,0.6875,11,1,6,allow,4,0.8333,5,0.7273,16
3.205,22,block_spread_if_injury_conflict,6,22,0,5,16,3,0.6875,11,1,6,require_ref_weather,4,0.8333,5,0.7273,16
6.455,11,allow,3,11,0,0,2,5,1.0,2,3,9,require_ref_weather,3,0.6667,6,0.7273,8
5.364,11,raise_spread_threshold,3,11,0,0,3,4,1.0,3,3,8,require_sharp_and_ref_weather,3,0.625,5,0.7273,8
5.136,11,block_spread_if_injury_context,3,11,0,0,2,4,1.0,2,3,9,require_ref_weather,3,0.6667,6,0.7273,8
4.909,11,block_spread_if_injury_context,3,11,0,2,9,3,0.7778,7,1,2,allow,5,0.5,1,0.7273,8
4.909,11,block_spread_if_injury_context,3,11,0,2,9,3,0.7778,7,1,2,require_ref_weather,5,0.5,1,0.7273,8
4.909,11,block_spread_if_injury_context,3,11,0,2,9,3,0.7778,7,1,2,require_sharp_and_ref_weather,5,0.5,1,0.7273,8
4.909,11,block_spread_if_injury_context,3,11,0,2,9,3,0.7778,7,1,2,allow,6,0.5,1,0.7273,8
4.909,11,block_spread_if_injury_context,3,11,0,2,9,3,0.7778,7,1,2,require_ref_weather,6,0.5,1,0.7273,8
4.909,11,block_spread_if_injury_context,3,11,0,2,9,3,0.7778,7,1,2,require_sharp_and_ref_weather,6,0.5,1,0.7273,8
4.417,18,block_spread_if_injury_context,5,18,0,2,9,3,0.7778,7,3,9,require_ref_weather,3,0.6667,6,0.7222,13
2.762,21,block_spread_if_injury_conflict,6,21,0,5,16,3,0.6875,11,1,5,require_sharp_and_ref_weather,4,0.8,4,0.7143,15
2.821,14,block_spread_if_injury_conflict,4,14,0,1,6,4,0.8333,5,3,8,require_sharp_and_ref_weather,3,0.625,5,0.7143,10
3.941,17,block_spread_if_injury_context,5,17,0,2,9,3,0.7778,7,3,8,require_sharp_and_ref_weather,3,0.625,5,0.7059,12
2.944,27,allow,8,27,0,5,18,3,0.7222,13,3,9,require_ref_weather,3,0.6667,6,0.7037,19
2.7,20,allow,6,20,0,5,18,3,0.7222,13,1,2,allow,5,0.5,1,0.7,14
2.7,20,allow,6,20,0,5,18,3,0.7222,13,1,2,require_ref_weather,5,0.5,1,0.7,14
2.7,20,allow,6,20,0,5,18,3,0.7222,13,1,2,require_sharp_and_ref_weather,5,0.5,1,0.7,14
2.7,20,allow,6,20,0,5,18,3,0.7222,13,1,2,allow,6,0.5,1,0.7,14
2.7,20,allow,6,20,0,5,18,3,0.7222,13,1,2,require_ref_weather,6,0.5,1,0.7,14
2.7,20,allow,6,20,0,5,18,3,0.7222,13,1,2,require_sharp_and_ref_weather,6,0.5,1,0.7,14
5.85,10,allow,3,10,0,0,2,5,1.0,2,3,8,require_sharp_and_ref_weather,3,0.625,5,0.7,7
5.6,10,raise_spread_threshold,3,10,0,0,1,5,1.0,1,3,9,require_ref_weather,3,0.6667,6,0.7,7
5.6,10,block_spread_if_injury_context,3,10,0,0,1,5,1.0,1,3,9,require_ref_weather,3,0.6667,6,0.7,7
5.6,10,block_spread_if_injury_conflict,3,10,0,0,1,5,1.0,1,3,9,require_ref_weather,3,0.6667,6,0.7,7
4.4,10,block_spread_if_injury_context,3,10,0,0,2,4,1.0,2,3,8,require_sharp_and_ref_weather,3,0.625,5,0.7,7
2.577,26,allow,8,26,0,5,18,3,0.7222,13,3,8,require_sharp_and_ref_weather,3,0.625,5,0.6923,18
2.3,25,block_spread_if_injury_conflict,8,25,0,5,16,3,0.6875,11,3,9,require_ref_weather,3,0.6667,6,0.68,17
2.567,30,allow,10,30,0,5,18,3,0.7222,13,5,12,allow,3,0.5833,7,0.6667,20
3.111,27,raise_spread_threshold,9,27,0,3,14,3,0.7857,11,6,13,allow,3,0.5385,7,0.6667,18
1.875,24,block_spread_if_injury_conflict,8,24,0,5,16,3,0.6875,11,3,8,require_sharp_and_ref_weather,3,0.625,5,0.6667,16
1.778,18,block_spread_if_injury_conflict,6,18,0,5,16,3,0.6875,11,1,2,allow,5,0.5,1,0.6667,12
1.778,18,block_spread_if_injury_conflict,6,18,0,5,16,3,0.6875,11,1,2,require_ref_weather,5,0.5,1,0.6667,12
1.778,18,block_spread_if_injury_conflict,6,18,0,5,16,3,0.6875,11,1,2,require_sharp_and_ref_weather,5,0.5,1,0.6667,12
1.778,18,block_spread_if_injury_conflict,6,18,0,5,16,3,0.6875,11,1,2,allow,6,0.5,1,0.6667,12
1.778,18,block_spread_if_injury_conflict,6,18,0,5,16,3,0.6875,11,1,2,require_ref_weather,6,0.5,1,0.6667,12
1.778,18,block_spread_if_injury_conflict,6,18,0,5,16,3,0.6875,11,1,2,require_sharp_and_ref_weather,6,0.5,1,0.6667,12
4.833,9,raise_spread_threshold,3,9,0,0,1,5,1.0,1,3,8,require_sharp_and_ref_weather,3,0.625,5,0.6667,6
4.833,9,block_spread_if_injury_context,3,9,0,0,1,5,1.0,1,3,8,require_sharp_and_ref_weather,3,0.625,5,0.6667,6
4.833,9,block_spread_if_injury_conflict,3,9,0,0,1,5,1.0,1,3,8,require_sharp_and_ref_weather,3,0.625,5,0.6667,6
10.167,3,raise_spread_threshold,1,3,0,0,1,5,1.0,1,1,2,allow,5,0.5,1,0.6667,2
10.167,3,raise_spread_threshold,1,3,0,0,1,5,1.0,1,1,2,require_ref_weather,5,0.5,1,0.6667,2
10.167,3,raise_spread_threshold,1,3,0,0,1,5,1.0,1,1,2,require_sharp_and_ref_weather,5,0.5,1,0.6667,2
10.167,3,block_spread_if_injury_context,1,3,0,0,1,5,1.0,1,1,2,allow,5,0.5,1,0.6667,2
10.167,3,block_spread_if_injury_context,1,3,0,0,1,5,1.0,1,1,2,require_ref_weather,5,0.5,1,0.6667,2
10.167,3,block_spread_if_injury_context,1,3,0,0,1,5,1.0,1,1,2,require_sharp_and_ref_weather,5,0.5,1,0.6667,2
10.167,3,block_spread_if_injury_conflict,1,3,0,0,1,5,1.0,1,1,2,allow,5,0.5,1,0.6667,2
10.167,3,block_spread_if_injury_conflict,1,3,0,0,1,5,1.0,1,1,2,require_ref_weather,5,0.5,1,0.6667,2
10.167,3,block_spread_if_injury_conflict,1,3,0,0,1,5,1.0,1,1,2,require_sharp_and_ref_weather,5,0.5,1,0.6667,2
10.167,3,raise_spread_threshold,1,3,0,0,1,5,1.0,1,1,2,allow,6,0.5,1,0.6667,2
10.167,3,raise_spread_threshold,1,3,0,0,1,5,1.0,1,1,2,require_ref_weather,6,0.5,1,0.6667,2
10.167,3,raise_spread_threshold,1,3,0,0,1,5,1.0,1,1,2,require_sharp_and_ref_weather,6,0.5,1,0.6667,2
10.167,3,block_spread_if_injury_context,1,3,0,0,1,5,1.0,1,1,2,allow,6,0.5,1,0.6667,2
10.167,3,block_spread_if_injury_context,1,3,0,0,1,5,1.0,1,1,2,require_ref_weather,6,0.5,1,0.6667,2
10.167,3,block_spread_if_injury_context,1,3,0,0,1,5,1.0,1,1,2,require_sharp_and_ref_weather,6,0.5,1,0.6667,2
10.167,3,block_spread_if_injury_conflict,1,3,0,0,1,5,1.0,1,1,2,allow,6,0.5,1,0.6667,2
10.167,3,block_spread_if_injury_conflict,1,3,0,0,1,5,1.0,1,1,2,require_ref_weather,6,0.5,1,0.6667,2
10.167,3,block_spread_if_injury_conflict,1,3,0,0,1,5,1.0,1,1,2,require_sharp_and_ref_weather,6,0.5,1,0.6667,2
3.05,20,allow,7,20,0,1,7,4,0.8571,6,6,13,allow,3,0.5385,7,0.65,13
1.964,28,block_spread_if_injury_conflict,10,28,0,5,16,3,0.6875,11,5,12,allow,3,0.5833,7,0.6429,18
2.421,19,block_spread_if_injury_conflict,7,19,0,1,6,4,0.8333,5,6,13,allow,3,0.5385,7,0.6316,12
2.674,23,block_spread_if_injury_context,9,23,0,2,9,3,0.7778,7,7,14,allow,3,0.5,7,0.6087,14
3.147,17,raise_spread_threshold,7,17,0,0,3,4,1.0,3,7,14,allow,3,0.5,7,0.5882,10
3.312,16,allow,7,16,0,0,2,5,1.0,2,7,14,allow,3,0.5,7,0.5625,9
2.406,16,block_spread_if_injury_context,7,16,0,0,2,4,1.0,2,7,14,allow,3,0.5,7,0.5625,9
2.533,15,raise_spread_threshold,7,15,0,0,1,5,1.0,1,7,14,allow,3,0.5,7,0.5333,8
2.533,15,block_spread_if_injury_context,7,15,0,0,1,5,1.0,1,7,14,allow,3,0.5,7,0.5333,8
2.533,15,block_spread_if_injury_conflict,7,15,0,0,1,5,1.0,1,7,14,allow,3,0.5,7,0.5333,8
