feature,value,actionability,plays,wins,losses,win_rate,baseline_win_rate,win_rate_lift,sample_flag
overperformance_pick_alignment,conflict,candidate_overlay,2,1,1,0.5,0.7778,-0.2778,micro
pythagorean_vs_vegas_delta_bin,abs0.5_to_2,research_feature,3,3,0,1.0,0.7778,0.2222,micro
pythagorean_vs_vegas_delta_bin,abs2_to_4,research_feature,2,2,0,1.0,0.7778,0.2222,micro
pythagorean_side,NEUTRAL,research_feature,1,1,0,1.0,0.7778,0.2222,micro
pythagorean_wins_delta_bin,neutral,research_feature,1,1,0,1.0,0.7778,0.2222,micro
market_expectation_side,NEUTRAL,research_feature,2,1,1,0.5,0.7778,-0.2778,micro
vegas_win_total_delta_bin,neutral,research_feature,2,1,1,0.5,0.7778,-0.2778,micro
spread_score_bin,>=4.5,selector_diagnostic,2,2,0,1.0,0.7778,0.2222,micro
best_edge_side,OVER,selector_diagnostic,1,1,0,1.0,0.7778,0.2222,micro
spread_score_bin,<=0,selector_diagnostic,1,1,0,1.0,0.7778,0.2222,micro
spread_status,blocked,selector_diagnostic,1,1,0,1.0,0.7778,0.2222,micro
total_score_bin,>=4.5,selector_diagnostic,2,1,1,0.5,0.7778,-0.2778,micro
moneyline_selected_ev_bin,<=0,moneyline_research,2,2,0,1.0,0.7778,0.2222,micro
data_quality_status,DEGRADED,context,2,2,0,1.0,0.7778,0.2222,micro
source_health_status,DEGRADED,context,2,2,0,1.0,0.7778,0.2222,micro
