matchup,season_type,model_version,classification,signal_classification,data_quality_status,unsafe_sources,degraded_sources,data_quality_warnings,data_quality_critical_warnings,total_score,confidence,pick_market,pick_side,pick_basis,recommendation_trace_summary,sharp_spread_diff,sharp_total_diff,ref_ats_pct,ref_ou_pct,weather_score,injury_score,injury_edge,injury_net_impact,injury_description,situational_score,situational_factors,statistical_score,statistical_edge,game_theory_score,market_dynamics,schedule_score,schedule_factors
Seattle Seahawks @ Kansas City Chiefs,PRE,2026.1,📊 LEAN,🎯 TARGETED PLAY,DEGRADED,,rotowire,rotowire: missing file path,,11.3,11.3,spread,AWAY,sharp spread edge,spread AWAY 3/3 | total UNDER 0/4 | final spread AWAY,15.0,-4.0,38.6,52.3,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Seattle Seahawks (5.0 pts),0,"Market inefficiency detected (+15.0% sharp edge), Potential steam move developing",0,Week PRE3 not found. Available: []...
San Francisco 49ers @ Las Vegas Raiders,PRE,2026.1,⚠️ PASS,🎯 TARGETED PLAY,DEGRADED,,rotowire,rotowire: missing file path,,8.4,8.4,none,,,spread HOME 2/3 | total OVER 1/4 | final none ,-13.0,6.0,52.1,54.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to San Francisco 49ers (4.0 pts),0,"Market inefficiency detected (-13.0% sharp edge), High contrarian value (fade the public)",0,Week PRE3 not found. Available: []...
Atlanta Falcons @ Miami Dolphins,PRE,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,6.0,6.0,none,,,spread AWAY 3/4 | total UNDER 2/4 | final none ,19.0,-2.0,37.5,38.5,1,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Miami Dolphins (2.0 pts),0,"Market inefficiency detected (+19.0% sharp edge), STEAM MOVE: Sharps heavily against public, High contrarian value (fade the public)",0,Week PRE3 not found. Available: []...
New England Patriots @ Cleveland Browns,PRE,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,5.4,5.4,none,,,spread AWAY 0/4 | total UNDER 3/4 | final none ,1.0,-15.0,50.0,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to New England Patriots (5.0 pts),0,High contrarian value (fade the public),0,Week PRE3 not found. Available: []...
Los Angeles Rams @ Los Angeles Chargers,PRE,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,5.4,5.4,none,,,spread HOME 0/4 | total OVER 0/4 | final none ,-4.0,3.0,48.9,54.2,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Los Angeles Rams (4.8 pts),0,High contrarian value (fade the public),0,Week PRE3 not found. Available: []...
Houston Texans @ Carolina Panthers,PRE,2026.1,⚠️ PASS,📊 LEAN,DEGRADED,,rotowire,rotowire: missing file path,,5.4,5.4,none,,,spread AWAY 0/4 | total OVER 1/4 | final none ,2.0,7.0,48.8,57.8,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,3,Strong statistical edge to Houston Texans (5.0 pts),0,Standard market dynamics,0,Week PRE3 not found. Available: []...
Detroit Lions @ Indianapolis Colts,PRE,2026.1,⚠️ PASS,🚨 TRAP GAME,DEGRADED,,rotowire,rotowire: missing file path,,4.8,4.8,none,,,spread AWAY 3/4 | total OVER 1/4 | final none ,17.0,5.0,63.5,50.0,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Indianapolis Colts (2.0 pts),0,"Market inefficiency detected (+17.0% sharp edge), STEAM MOVE: Sharps heavily against public, High contrarian value (fade the public)",0,Week PRE3 not found. Available: []...
Washington Commanders @ Baltimore Ravens,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,4.1,4.1,none,,,spread NA NA/NA | total NA NA/NA | final none ,-18.0,-1.0,50.0,38.2,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Baltimore Ravens (2.0 pts),0,"Market inefficiency detected (-18.0% sharp edge), STEAM MOVE: Sharps heavily against public",0,Week PRE3 not found. Available: []...
New York Giants @ New York Jets,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,3.3,3.3,none,,,spread NA NA/NA | total NA NA/NA | final none ,11.0,-5.0,66.7,55.6,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to New York Jets (2.0 pts),0,Market inefficiency detected (+11.0% sharp edge),0,Week PRE3 not found. Available: []...
Cincinnati Bengals @ Philadelphia Eagles,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,1.4,1.4,none,,,spread NA NA/NA | total NA NA/NA | final none ,-9.0,3.0,65.4,34.6,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-2,Strong statistical edge to Philadelphia Eagles (3.3 pts),0,Market mispricing possible (-9.0% edge),0,Week PRE3 not found. Available: []...
New Orleans Saints @ Dallas Cowboys,PRE,2026.1,⚠️ PASS,⚠️ LANDMINE,DEGRADED,,rotowire,rotowire: missing file path,,1.1,1.1,none,,,spread NA NA/NA | total NA NA/NA | final none ,-8.0,-5.0,44.7,61.5,0,0,NO EDGE,0,Found 0 high-impact injuries,0,No significant situational factors,-1,Statistical edge to Dallas Cowboys (2.0 pts),0,"Market mispricing possible (-8.0% edge), Extreme public sentiment (14% on one side), Potential steam move developing",0,Week PRE3 not found. Available: []...
