matchup,referee,away,home,spread,favorite,game_type,query
Steelers at Bills,Craig Wrolstad,PIT,BUF,0,HF,C,'Craig Wrolstad' in officials and HF and C and REG and season>=2018
Patriots at Browns,Derek Anderson BACKUP REFEREE,NE,CLE,0,HF,C,'Derek Anderson BACKUP REFEREE' in officials and HF and C and REG and season>=2018
49ers at Raiders,John Hussey,SF,LV,0,HF,NDIV,'John Hussey' in officials and HF and NDIV and REG and season>=2018
Rams at Chargers,Shawn Hochuli,LAR,LAC,0,HF,NDIV,'Shawn Hochuli' in officials and HF and NDIV and REG and season>=2018
Commanders at Ravens,Ron TorbertBarry Anderson 2nd HALF,WAS,BAL,0,HF,NDIV,'Ron TorbertBarry Anderson 2nd HALF' in officials and HF and NDIV and REG and season>=2018
Texans at Panthers,Brad Allen,HOU,CAR,0,HF,NDIV,'Brad Allen' in officials and HF and NDIV and REG and season>=2018
Falcons at Dolphins,Land ClarkMark Pellis 2nd HALF,ATL,MIA,0,HF,NDIV,'Land ClarkMark Pellis 2nd HALF' in officials and HF and NDIV and REG and season>=2018
Buccaneers at Jaguars,Clete Blakeman,TB,JAX,0,HF,NDIV,'Clete Blakeman' in officials and HF and NDIV and REG and season>=2018
Giants at Jets,Alex Moore,NYG,NYJ,0,HF,NDIV,'Alex Moore' in officials and HF and NDIV and REG and season>=2018
Saints at Cowboys,Brad Rogers,NO,DAL,0,HF,C,'Brad Rogers' in officials and HF and C and REG and season>=2018
Seahawks at Chiefs,Scott Novak,SEA,KC,0,HF,NDIV,'Scott Novak' in officials and HF and NDIV and REG and season>=2018
Bengals at Eagles,Alan Eck,CIN,PHI,0,HF,NDIV,'Alan Eck' in officials and HF and NDIV and REG and season>=2018
Cardinals at Packers,Scott Walker BACKUP REFEREE,ARI,GB,0,HF,C,'Scott Walker BACKUP REFEREE' in officials and HF and C and REG and season>=2018
Vikings at Broncos,Bill Vinovich,MIN,DEN,0,HF,NDIV,'Bill Vinovich' in officials and HF and NDIV and REG and season>=2018
Lions at Colts,Alex Kemp,DET,IND,0,HF,NDIV,'Alex Kemp' in officials and HF and NDIV and REG and season>=2018
Bears at Titans,Clay Martin,CHI,TEN,0,HF,NDIV,'Clay Martin' in officials and HF and NDIV and REG and season>=2018
