matchup,referee,away,home,spread,favorite,game_type,query
Cowboys at Commanders,Brad Rogers,DAL,WAS,-7.0,AF,DIV,'Brad Rogers' in officials and AF and DIV and REG and season>=2018
Lions at Vikings,Shawn Smith,DET,MIN,-7.5,AF,DIV,'Shawn Smith' in officials and AF and DIV and REG and season>=2018
Broncos at Chiefs,Bill Vinovich,DEN,KC,-13.5,AF,DIV,'Bill Vinovich' in officials and AF and DIV and REG and season>=2018
Texans at Chargers,Craig Wrolstad,HOU,LAC,-2.5,HF,C,'Craig Wrolstad' in officials and HF and C and REG and season>=2018
Ravens at Packers,Alan Eck,BAL,GB,-3.0,HF,NDIV,'Alan Eck' in officials and HF and NDIV and REG and season>=2018
Seahawks at Panthers,Carl Cheffers,SEA,CAR,-7.0,AF,C,'Carl Cheffers' in officials and AF and C and REG and season>=2018
Cardinals at Bengals,Clay Martin,ARI,CIN,-7.0,HF,NDIV,'Clay Martin' in officials and HF and NDIV and REG and season>=2018
Steelers at Browns,John Hussey,PIT,CLE,-3.0,AF,DIV,'John Hussey' in officials and AF and DIV and REG and season>=2018
Jaguars at Colts,Brad Allen,JAX,IND,-6.5,AF,DIV,'Brad Allen' in officials and AF and DIV and REG and season>=2018
Buccaneers at Dolphins,Scott Novak,TB,MIA,-5.5,AF,NDIV,'Scott Novak' in officials and AF and NDIV and REG and season>=2018
Patriots at Jets,Alex Kemp,NE,NYJ,-13.5,AF,DIV,'Alex Kemp' in officials and AF and DIV and REG and season>=2018
Saints at Titans,Adrian Hill,NO,TEN,-2.5,AF,NDIV,'Adrian Hill' in officials and AF and NDIV and REG and season>=2018
Giants at Raiders,Land Clark,NYG,LV,-1.5,HF,NDIV,'Land Clark' in officials and HF and NDIV and REG and season>=2018
Eagles at Bills,Ron Torbert,PHI,BUF,-1.5,HF,NDIV,'Ron Torbert' in officials and HF and NDIV and REG and season>=2018
Bears at 49ers,Alex Moore,CHI,SF,-3.0,HF,C,'Alex Moore' in officials and HF and C and REG and season>=2018
Rams at Falcons,Clete Blakeman,LAR,ATL,-7.5,AF,C,'Clete Blakeman' in officials and AF and C and REG and season>=2018
