matchup,referee,time,week,away_team,home_team
Cowboys at Commanders,Brad Rogers,1 p.m.,17,Cowboys,Commanders
Lions at Vikings,Shawn Smith,4:30 p.m.,17,Lions,Vikings
Broncos at Chiefs,Bill Vinovich,8:15 p.m.,17,Broncos,Chiefs
Texans at Chargers,Craig Wrolstad,4:30 p.m.,17,Texans,Chargers
Ravens at Packers,Alan Eck,8 p.m.,17,Ravens,Packers
Seahawks at Panthers,Carl Cheffers,1 p.m.,17,Seahawks,Panthers
Cardinals at Bengals,Clay Martin,1 p.m.,17,Cardinals,Bengals
Steelers at Browns,John Hussey,1 p.m.,17,Steelers,Browns
Jaguars at Colts,Brad Allen,1 p.m.,17,Jaguars,Colts
Buccaneers at Dolphins,Scott Novak,1 p.m.,17,Buccaneers,Dolphins
Patriots at Jets,Alex Kemp,1 p.m.,17,Patriots,Jets
Saints at Titans,Adrian Hill,1 p.m.,17,Saints,Titans
Giants at Raiders,Land Clark,4:05 p.m.,17,Giants,Raiders
Eagles at Bills,Ron Torbert,4:25 p.m.,17,Eagles,Bills
Bears at 49ers,Alex Moore,8:20 p.m.,17,Bears,49ers
Rams at Falcons,Clete Blakeman,8:15 p.m.,17,Rams,Falcons
